Unnamed: 0,KAN,MIN
First Downs,21,27
Rush-Yds-TDs,23-105-3,39-223-3
Cmp-Att-Yd-TD-INT,18-38-224-0-2,20-30-260-3-1
Sacked-Yards,0-0,2-14
Net Pass Yards,224,246
Total Yards,329,469
Fumbles-Lost,4-2,3-0
Turnovers,4,1
Penalties-Yards,2-20,6-51
Third Down Conv.,5-11,7-12
Fourth Down Conv.,1-2,0-0
Time of Possession,23:59,36:01
