Unnamed: 0,DAL,PHI
First Downs,27,20
Rush-Yds-TDs,21-73-0,33-109-2
Cmp-Att-Yd-TD-INT,29-44-374-3-0,17-23-207-2-0
Sacked-Yards,5-41,3-24
Net Pass Yards,333,183
Total Yards,406,292
Fumbles-Lost,2-1,3-0
Turnovers,1,0
Penalties-Yards,10-83,10-98
Third Down Conv.,6-15,7-14
Fourth Down Conv.,3-5,2-2
Time of Possession,29:42,30:18
