Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 62 yards, returned by Kevin Faulk for 15 yards (tackle by Corey Jenkins)",0.000,0.480
1,14:55,1,10,NWE 23,0,0,Corey Dillon left end for 18 yards (tackle by Sammy Knight),0.480,1.660
1,14:27,1,10,NWE 41,0,0,Corey Dillon left tackle for 3 yards (tackle by Morlon Greenwood and Derrick Pope),1.660,1.530
1,13:48,2,7,NWE 44,0,0,Tom Brady pass complete to David Patten for 6 yards (tackle by Jason Taylor),1.530,1.620
1,13:01,3,1,MIA 50,0,0,Corey Dillon left tackle for 3 yards (tackle by Morlon Greenwood),1.620,2.460
1,12:18,1,10,MIA 47,0,0,Tom Brady pass complete to Patrick Pass for 4 yards (tackle by Sammy Knight),2.460,2.450
1,11:54,2,6,MIA 43,0,0,Kevin Faulk right end for 5 yards (tackle by Derrick Pope),2.450,2.410
1,11:15,3,1,MIA 38,0,0,Corey Dillon right tackle for 3 yards (tackle by David Bowens and Morlon Greenwood),2.410,3.250
1,10:40,1,10,MIA 35,0,0,Corey Dillon left tackle for 4 yards (tackle by Sammy Knight),3.250,3.240
1,10:06,2,6,MIA 31,6,0,"Tom Brady pass complete to Kevin Faulk for 31 yards, touchdown",3.240,7.000
1,,,,MIA 2,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Adam Vinatieri kicks off 65 yards, returned by Wes Welker for 28 yards (tackle by Tully Banta-Cain)",0.000,1.140
1,9:52,1,10,MIA 33,7,0,Sammy Morris left guard for 1 yard (tackle by Rodney Harrison),1.140,0.730
1,9:18,2,9,MIA 34,7,0,A.J. Feeley pass complete to Randy McMichael for 4 yards (tackle by Randall Gay),0.730,0.560
1,8:42,3,5,MIA 38,7,0,"A.J. Feeley sacked by Jarvis Green for -10 yards. A.J. Feeley fumbles (forced by Jarvis Green), recovered by Jeno James at MIA-29",0.560,-1.440
1,7:58,4,14,MIA 29,7,0,"Matt Turk punts 49 yards, returned by Kevin Faulk for 5 yards (tackle by Brendon Ayanbadejo)",-1.440,-0.740
1,7:48,1,10,NWE 27,7,0,Tom Brady pass incomplete intended for David Patten,0.740,0.200
1,7:41,2,10,NWE 27,7,0,Corey Dillon left tackle for 2 yards (tackle by Morlon Greenwood),0.200,-0.230
1,7:02,3,8,NWE 29,7,0,Tom Brady pass incomplete intended for Kevin Faulk,-0.230,-1.440
1,6:57,4,8,NWE 29,7,0,"Josh Miller punts 44 yards, returned by Wes Welker for 71 yards (tackle by Je'Rod Cherry)",-1.440,-6.740
1,6:34,1,2,NWE 2,7,6,"Sammy Morris right guard for 2 yards, touchdown",6.740,7.000
1,,,,NWE 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,MIA 30,7,7,"Olindo Mare kicks off 68 yards, returned by Kevin Faulk for 14 yards (tackle by Brendon Ayanbadejo)",0.000,-0.140
1,6:25,1,10,NWE 16,7,7,Corey Dillon right guard for no gain (tackle by David Bowens and Jeff Zgonina),-0.140,-0.660
1,5:49,2,10,NWE 16,7,7,Tom Brady pass complete to Daniel Graham for 12 yards (tackle by Sammy Knight),-0.660,0.810
1,5:11,1,10,NWE 28,7,7,Corey Dillon left tackle for -2 yards (tackle by Jeff Zgonina),0.810,-0.010
1,4:36,2,12,NWE 26,7,7,Tom Brady pass complete to Patrick Pass for 7 yards (tackle by Patrick Surtain),-0.010,0.230
1,3:50,3,5,NWE 33,7,7,Tom Brady pass incomplete intended for David Patten (defended by David Bowens),0.230,-1.180
1,3:44,4,5,NWE 33,7,7,"Josh Miller punts 52 yards, returned by Wes Welker for 16 yards (tackle by Tedy Bruschi)",-1.180,-1.000
1,3:33,1,10,MIA 31,7,7,"A.J. Feeley pass incomplete intended for Chris Chambers. Penalty on Seth McKinney: Chop Block, 15 yards (no play)",1.000,-0.370
1,3:28,1,25,MIA 16,7,7,Sammy Morris up the middle for 2 yards (tackle by Vince Wilfork),-0.370,-1.400
1,2:51,2,23,MIA 18,7,7,A.J. Feeley sacked by Roman Phifer and Mike Vrabel for -7 yards,-1.400,-3.760
1,2:26,3,30,MIA 11,7,7,Sammy Morris right guard for 2 yards (tackle by Willie McGinest and Rodney Harrison),-3.760,-2.490
1,1:47,4,28,MIA 13,7,7,"Matt Turk punts 46 yards, fair catch by Kevin Faulk",-2.490,-1.660
1,1:38,1,10,NWE 41,7,7,Tom Brady sacked by Jason Taylor for -6 yards,1.660,0.310
1,1:04,2,16,NWE 35,7,7,Corey Dillon left tackle for 4 yards (tackle by Jason Taylor),0.310,0.170
1,0:23,3,12,NWE 39,7,7,Tom Brady pass complete to Troy Brown for 6 yards (tackle by Jason Taylor),0.170,-0.390
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,NWE 45,7,7,"Josh Miller punts 40 yards, fair catch by Wes Welker",-0.390,0.220
2,14:53,1,10,MIA 15,7,7,A.J. Feeley pass incomplete intended for Travis Minor,-0.220,-0.710
2,14:47,2,10,MIA 15,7,7,A.J. Feeley pass incomplete intended for Randy McMichael (defended by Rodney Harrison),-0.710,-1.370
2,14:42,3,10,MIA 15,7,7,A.J. Feeley pass complete to Marty Booker for 3 yards (tackle by Randall Gay),-1.370,-2.240
2,13:57,4,7,MIA 18,7,7,"Matt Turk punts 32 yards, fair catch by Kevin Faulk",-2.240,-2.260
2,13:49,1,10,MIA 50,7,7,Corey Dillon left end for 7 yards (tackle by Brendon Ayanbadejo),2.260,2.660
2,13:05,2,3,MIA 43,7,7,Kevin Faulk up the middle for 2 yards (tackle by Bryan Robinson),2.660,2.210
2,12:27,3,1,MIA 41,7,7,Patrick Pass left tackle for 1 yard (tackle by Sam Madison and Sammy Knight),2.210,2.920
2,11:49,1,10,MIA 40,7,7,Tom Brady up the middle for -1 yards (tackle by Morlon Greenwood),2.920,2.240
2,11:21,2,11,MIA 41,7,7,"Tom Brady pass incomplete intended for Deion Branch. Penalty on Derrick Pope: Defensive Holding, 5 yards (no play)",2.240,3.180
2,11:16,1,10,MIA 36,7,7,Tom Brady pass complete to David Patten for 8 yards (tackle by Patrick Surtain),3.180,3.720
2,10:55,2,2,MIA 28,7,7,Patrick Pass up the middle for 3 yards (tackle by Brendon Ayanbadejo),3.720,3.910
2,10:19,1,10,MIA 25,7,7,Corey Dillon left guard for 3 yards (tackle by Sammy Knight and Josh Shaw),3.910,3.770
2,9:38,2,7,MIA 22,7,7,Corey Dillon right guard for 6 yards (tackle by Derrick Pope and Sammy Knight),3.770,4.060
2,8:57,3,1,MIA 16,7,7,Corey Dillon left tackle for 5 yards (tackle by Jason Taylor),4.060,4.840
2,8:18,1,10,MIA 11,7,7,Corey Dillon right end for no gain (tackle by Brendon Ayanbadejo),4.840,4.140
2,7:34,2,10,MIA 11,7,7,Tom Brady pass complete to Christian Fauria for 8 yards,4.140,4.890
2,7:06,3,2,MIA 3,13,7,"Corey Dillon left guard for 3 yards, touchdown",4.890,7.000
2,,,,MIA 2,14,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,NWE 30,14,7,"Adam Vinatieri kicks off 65 yards, returned by Wes Welker for 25 yards (tackle by Larry Izzo)",0.000,0.940
2,6:56,1,10,MIA 30,14,7,Travis Minor left guard for -1 yards (tackle by Vince Wilfork and Ted Johnson),0.940,0.260
2,6:20,2,11,MIA 29,14,7,A.J. Feeley pass complete to Randy McMichael for 7 yards (tackle by Willie McGinest),0.260,0.500
2,5:44,3,4,MIA 36,14,7,A.J. Feeley pass complete to Bryan Gilmore for 15 yards (tackle by Roman Phifer),0.500,2.320
2,5:15,1,10,NWE 49,14,7,A.J. Feeley pass complete to Marty Booker for 17 yards (tackle by Roman Phifer),2.320,3.450
2,4:41,1,10,NWE 32,14,7,Travis Minor right tackle for 5 yards (tackle by Ted Johnson),3.450,3.580
2,4:07,2,5,NWE 27,14,7,Travis Minor left guard for 1 yard (tackle by Jarvis Green),3.580,3.010
2,3:25,3,4,NWE 26,14,7,A.J. Feeley pass complete to Bryan Gilmore for 9 yards (tackle by Troy Brown),3.010,4.440
2,2:56,1,10,NWE 17,14,7,"Penalty on Chris Chambers: False Start, 5 yards (no play)",4.440,4.110
2,2:34,1,15,NWE 22,14,7,A.J. Feeley pass incomplete intended for Marty Booker (defended by Asante Samuel),4.110,3.220
2,2:30,2,15,NWE 22,14,7,A.J. Feeley pass complete to Marty Booker for 10 yards (tackle by Tedy Bruschi),3.220,3.880
2,2:00,3,5,NWE 12,14,7,A.J. Feeley pass incomplete intended for Randy McMichael,3.880,2.680
2,1:56,4,5,NWE 12,14,10,Olindo Mare 30 yard field goal good,2.680,3.000
2,,,,MIA 30,14,10,"Olindo Mare kicks off 63 yards, returned by Kevin Faulk for 20 yards (tackle by Arturo Freeman)",0.000,0.740
2,1:45,1,10,NWE 27,14,10,Tom Brady pass incomplete intended for Daniel Graham,0.740,0.200
2,1:39,2,10,NWE 27,14,10,Tom Brady pass incomplete intended for David Patten,0.200,-0.490
2,1:34,3,10,NWE 27,14,10,Tom Brady pass incomplete intended for David Patten is intercepted by Sammy Knight at MIA-21,-0.490,-0.340
2,1:20,1,10,MIA 21,14,10,A.J. Feeley pass complete to Chris Chambers for 11 yards,0.340,1.070
2,1:14,1,10,MIA 32,14,10,A.J. Feeley pass complete to Sammy Morris for 13 yards (tackle by Eugene Wilson),1.070,1.930
2,1:02,,,,14,10,Timeout #1 by Miami Dolphins,0.000,1.930
