Quarter,Time,Tm,Detail,NWE,MIA
1.0,9:59,Patriots,Kevin Faulk 31 yard pass from Tom Brady (Adam Vinatieri kick),7,0
,6:30,Dolphins,Sammy Morris 2 yard rush (Olindo Mare kick),7,7
2.0,7:01,Patriots,Corey Dillon 3 yard rush (Adam Vinatieri kick),14,7
,1:52,Dolphins,Olindo Mare 30 yard field goal,14,10
3.0,6:50,Dolphins,Travis Minor 1 yard rush (Olindo Mare kick),14,17
,2:07,Patriots,Corey Dillon 2 yard pass from Tom Brady (Adam Vinatieri kick),21,17
4.0,3:59,Patriots,Daniel Graham 2 yard pass from Tom Brady (Adam Vinatieri kick),28,17
,2:07,Dolphins,Sammy Morris 1 yard rush (pass failed),28,23
,1:23,Dolphins,Derrius Thompson 21 yard pass from A.J. Feeley (pass failed),28,29
