Quarter,Time,Tm,Detail,KAN,JAX
1.0,12:26,Jaguars,"Safety, Punt blocked by J.T. Thomas out of bounds in the end zone for a safety.",0,2
,9:04,Chiefs,Donnie Avery 5 yard pass from Alex Smith (Ryan Succop kick),7,2
,1:35,Chiefs,Junior Hemingway 3 yard pass from Alex Smith (Ryan Succop kick),14,2
2.0,6:26,Chiefs,Jamaal Charles 2 yard rush (Ryan Succop kick),21,2
4.0,12:51,Chiefs,Tamba Hali 10 yard interception return (Ryan Succop kick),28,2
