#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,JAX 20,3,1:31,7,Punt
2,1,12:26,JAX 26,3,2:02,-7,Punt
3,1,9:04,JAX 20,3,1:26,1,Punt
4,1,4:40,JAX 20,5,2:32,13,Interception
5,1,1:35,JAX 20,3,0:54,-2,Punt
6,2,12:17,JAX 19,3,1:09,1,Punt
7,2,6:26,JAX 19,4,3:04,16,Punt
8,2,1:31,JAX 19,6,1:31,5,End of Half
9,3,11:51,JAX 14,4,2:24,-5,Punt
10,3,7:02,JAX 9,3,1:15,-3,Punt
11,3,4:45,JAX 20,3,1:50,7,Punt
12,4,13:41,JAX 12,3,0:50,0,Interception
13,4,12:51,JAX 20,6,2:00,12,Punt
14,4,9:51,JAX 24,8,3:47,26,Punt
15,4,2:56,JAX 20,13,2:15,77,Downs
