Quarter,Time,Down,ToGo,Location,KAN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,JAX 20,0,0,Blaine Gabbert pass complete short right to Clay Harbor for 5 yards (tackle by Eric Berry),0.280,0.410
1,14:34,2,5,JAX 25,0,0,Blaine Gabbert pass complete short left to Ace Sanders for no gain,0.410,-0.300
1,13:51,3,5,JAX 25,0,0,Blaine Gabbert up the middle for 2 yards (tackle by Justin Houston),-0.300,-1.570
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
1,13:41,4,3,JAX 27,0,0,"Bryan Anger punts 54 yards, returned by Dexter McCluster for 3 yards (tackle by Josh Evans)",-1.570,-0.410
1,13:29,1,10,KAN 22,0,0,Alex Smith pass incomplete deep left intended for Anthony Fasano,0.410,-0.130
1,13:21,2,10,KAN 22,0,0,Jamaal Charles up the middle for 3 yards (tackle by Paul Posluszny),-0.130,-0.430
1,12:38,3,7,KAN 25,0,0,Alex Smith pass incomplete short right intended for Jamaal Charles,-0.430,-1.700
1,12:32,4,7,KAN 25,0,2,"Dustin Colquitt punts, blocked by J.T. Thomas, safety",-1.700,-2.000
1,12:32,,,KAN 20,0,2,"Dustin Colquitt kicks off 77 yards, returned by Ace Sanders for 23 yards (tackle by Ron Parker)",0.000,-0.670
1,12:19,1,10,JAX 26,0,2,Maurice Jones-Drew up the middle for no gain (tackle by Dontari Poe),0.670,0.130
1,11:48,2,10,JAX 26,0,2,Blaine Gabbert sacked by Justin Houston for -13 yards,0.130,-2.860
1,11:15,3,23,JAX 13,0,2,Blaine Gabbert pass complete short right to Justin Forsett for 6 yards (tackle by Tamba Hali),-2.860,-2.140
