Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA
1,9:48,3,7,LAC 48,0,0,Easton Stick pass complete deep left to Josh Palmer for 19 yards (tackle by Cameron Lewis and Taylor Rapp),1.090,3.380
1,9:15,1,10,BUF 33,0,0,Easton Stick right end for 1 yard (tackle by Leonard Floyd),3.380,2.970
1,8:38,2,9,BUF 32,0,0,Easton Stick pass incomplete deep right intended for Quentin Johnston,2.970,2.280
1,8:32,3,9,BUF 32,0,0,Easton Stick pass complete deep middle to Stone Smartt for 23 yards (tackle by Cameron Lewis),2.280,5.140
1,7:55,1,9,BUF 9,0,0,Easton Stick left end for 2 yards (tackle by Tyrel Dodson),5.140,4.760
1,7:21,2,7,BUF 7,0,0,Austin Ekeler right tackle for 5 yards (tackle by Taron Johnson and Tim Settle),4.760,4.950
1,6:43,3,2,BUF 2,0,0,Easton Stick pass incomplete short left intended for Josh Palmer,4.950,3.250
1,6:35,4,2,BUF 2,0,3,Cameron Dicker 20 yard field goal good,3.250,3.000
1,6:32,,,LAC 35,0,3,"Cameron Dicker kicks off 56 yards, returned by Leonard Fournette for 17 yards (tackle by Daiyan Henley). Penalty on Baylon Spector: Offensive Holding, 10 yards (accepted)",0.000,-0.140
1,6:27,1,10,BUF 16,0,3,Leonard Fournette left guard for 3 yards (tackle by Austin Johnson and Scott Matlock),-0.140,-0.180
1,5:48,2,7,BUF 19,0,3,Josh Allen pass complete deep right to Gabriel Davis for 17 yards (tackle by Michael Davis),-0.180,1.330
1,5:05,1,10,BUF 36,0,3,Josh Allen right end for 6 yards (tackle by Alohi Gilman),1.330,1.600
1,4:25,2,4,BUF 42,0,3,James Cook left tackle for -1 yards (tackle by Khalil Mack),1.600,0.760
1,3:43,3,5,BUF 41,0,3,Josh Allen pass incomplete deep right intended for Gabriel Davis,0.760,-0.650
1,3:37,4,5,BUF 41,0,3,"Sam Martin punts 44 yards, fair catch by Derius Davis at LAC-15",-0.650,0.220
1,3:30,1,10,LAC 15,0,3,Austin Ekeler right end for 1 yard (tackle by Taron Johnson),-0.220,-0.580
1,2:46,2,9,LAC 16,0,3,Easton Stick pass complete short middle to Gerald Everett for 5 yards (tackle by Tyrel Dodson and Taron Johnson) (no play),-0.580,-1.070
1,2:37,2,14,LAC 11,0,3,"Easton Stick pass deep middle is intercepted by Christian Benford at LAC-30 and returned for no gain (tackle by Alex Erickson). Penalty on Christian Benford: Defensive Holding, 5 yards (accepted) (no play)",-1.070,-0.140
1,2:20,1,10,LAC 16,0,3,Isaiah Spiller left guard for no gain (tackle by Gregory Rousseau),-0.140,-0.660
1,1:40,2,10,LAC 16,0,3,Isaiah Spiller right tackle for 1 yard (tackle by Ed Oliver and Linval Joseph),-0.660,-1.200
1,1:00,3,9,LAC 17,0,3,Easton Stick up the middle for -4 yards (tackle by Cameron Lewis),-1.200,-2.490
1,0:21,4,13,LAC 13,0,3,"JK Scott punts 57 yards, returned by Deonte Harty for -3 yards. Deonte Harty fumbles (forced by AJ Finley) (tackle by Ja'Sir Taylor), recovered by Amen Ogbongbemiga at BUF-27 (tackle by AJ Finley) (tackle by Ja'Sir Taylor) (tackle by AJ Finley) (tackle by Ja'Sir Taylor). Penalty on Damar Hamlin: Offensive Holding, 10 yards (declined)",-2.490,3.780
1,0:04,1,10,BUF 27,0,3,Easton Stick pass complete short left to Gerald Everett for 15 yards (tackle by Rasul Douglas),3.780,4.780
Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 12,0,3,Easton Stick pass complete short left to Gerald Everett for 2 yards (tackle by Gregory Rousseau),4.780,4.450
2,14:40,2,8,BUF 10,0,3,Easton Stick pass complete short right to Gerald Everett for 9 yards (tackle by Rasul Douglas),4.450,6.970
2,13:54,1,1,BUF 1,0,9,"Easton Stick right end for 1 yard, touchdown",6.970,7.000
2,13:49,,,BUF 15,0,10,Cameron Dicker kicks extra point good,0.000,0.000
2,13:49,,,LAC 35,0,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,13:49,1,10,BUF 25,0,10,James Cook left guard for 5 yards (tackle by Tuli Tuipulotu),0.610,0.740
2,13:13,2,5,BUF 30,0,10,James Cook up the middle for 10 yards (tackle by Jaylinn Hawkins),0.740,1.600
2,12:38,1,10,BUF 40,0,10,James Cook right tackle for 3 yards (tackle by Tuli Tuipulotu and Nick Williams),1.600,1.460
2,11:58,2,7,BUF 43,0,10,"Josh Allen scrambles left end for no gain (tackle by Kenneth Murray). Penalty on Mitch Morse: Offensive Holding, 10 yards (accepted) (no play)",1.460,0.110
2,11:36,2,17,BUF 33,0,10,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Michael Davis),0.110,0.370
2,10:57,3,10,BUF 40,0,10,Josh Allen pass incomplete short left intended for Dalton Kincaid,0.370,-0.720
2,10:52,4,10,BUF 40,0,10,Sam Martin punts 56 yards out of bounds,-0.720,0.380
2,10:43,1,10,LAC 4,0,10,Austin Ekeler right tackle for 4 yards (tackle by Jordan Poyer),-0.380,-0.490
2,10:07,2,6,LAC 8,0,10,Easton Stick pass incomplete short left intended for Gerald Everett,-0.490,-0.950
2,10:04,3,6,LAC 8,0,10,Easton Stick pass complete short left to Josh Palmer for 3 yards (tackle by Terrel Bernard),-0.950,-2.490
2,9:24,4,3,LAC 11,0,10,"JK Scott punts 49 yards, returned by Deonte Harty for 3 yards (tackle by Nick Niemann)",-2.490,-1.800
2,9:12,1,10,BUF 43,6,10,"Josh Allen pass complete deep right to Gabriel Davis for 57 yards, touchdown",1.800,7.000
2,9:02,,,LAC 15,7,10,Tyler Bass kicks extra point good,0.000,0.000
2,9:02,,,BUF 35,7,10,"Tyler Bass kicks off 55 yards, recovered by Derius Davis at LAC-8 (tackle by Dorian Williams)",0.000,-0.380
2,8:59,1,10,LAC 8,7,10,Austin Ekeler right guard for 5 yards (tackle by Terrel Bernard),-0.380,-0.410
2,8:22,2,5,LAC 13,7,10,Easton Stick right end for 2 yards (tackle by Rasul Douglas),-0.410,-0.600
2,7:43,3,3,LAC 15,7,10,Austin Ekeler left end for 7 yards (tackle by Gregory Rousseau),-0.600,0.410
2,7:18,1,10,LAC 22,7,10,Austin Ekeler left end for 10 yards (tackle by Leonard Floyd and Jordan Poyer),0.410,1.070
2,6:36,1,10,LAC 32,7,10,Easton Stick pass incomplete deep right intended for Quentin Johnston,1.070,0.530
2,6:31,2,10,LAC 32,7,10,Joshua Kelley left end for -2 yards (tackle by Tyrel Dodson),0.530,-0.430
2,5:51,3,12,LAC 30,7,10,"Easton Stick scrambles right end for no gain (tackle by Taylor Rapp and Jordan Poyer). Penalty on Rashawn Slater: Offensive Holding, 10 yards (accepted) (no play)",-0.430,-1.750
2,5:19,3,22,LAC 20,7,10,Easton Stick pass complete short right to Gerald Everett for no gain (tackle by Christian Benford),-1.750,-2.030
2,4:42,4,22,LAC 20,7,10,"JK Scott punts 54 yards, returned by Deonte Harty for 11 yards (tackle by Justin Hollins and Amen Ogbongbemiga)",-2.030,-1.400
2,4:29,1,10,BUF 37,7,10,Josh Allen pass complete short middle to Dawson Knox for 9 yards (tackle by Justin Hollins),1.400,2.070
2,3:56,2,1,BUF 46,7,10,James Cook left tackle for 6 yards (tackle by Michael Davis and Alohi Gilman),2.070,2.390
2,3:17,1,10,LAC 48,7,10,James Cook left tackle for 4 yards (tackle by Khalil Mack),2.390,2.390
2,2:40,2,6,LAC 44,7,10,Josh Allen pass complete short right to Gabriel Davis for 20 yards (tackle by Derwin James),2.390,3.970
2,2:00,1,10,LAC 24,7,10,James Cook right tackle for 8 yards (tackle by Jaylinn Hawkins),3.970,4.650
2,1:23,2,2,LAC 16,7,10,Leonard Fournette right guard for 5 yards (tackle by Kenneth Murray),4.650,4.840
2,0:44,1,10,LAC 11,7,10,Leonard Fournette left tackle for 9 yards (tackle by Kenneth Murray and Jaylinn Hawkins),4.840,5.850
2,0:41,,,,,,Timeout #1 by Buffalo Bills,,
2,0:41,2,1,LAC 2,13,10,"Josh Allen right tackle for 2 yards, touchdown",5.850,7.000
2,0:38,,,LAC 15,14,10,Tyler Bass kicks extra point good,0.000,0.000
2,0:38,,,BUF 35,14,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,0:38,1,10,LAC 25,14,10,Austin Ekeler right guard for 6 yards (tackle by Ed Oliver and Taylor Rapp),0.610,0.870
Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,14,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,14,10,"Easton Stick pass complete short middle to Gerald Everett for 4 yards (tackle by Taron Johnson). Penalty on Taron Johnson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.610,1.860
3,14:34,1,10,LAC 44,14,10,Easton Stick pass complete short right to Austin Ekeler for 14 yards (tackle by Taylor Rapp and Jordan Poyer),1.860,2.790
3,14:08,1,10,BUF 42,14,10,Austin Ekeler left guard for 2 yards (tackle by Tim Settle and Taron Johnson),2.790,2.510
3,13:36,2,8,BUF 40,14,10,Easton Stick pass incomplete short left intended for Austin Ekeler,2.510,1.820
3,13:32,3,8,BUF 40,14,10,Easton Stick sacked by Rasul Douglas for -10 yards,1.820,-0.060
3,12:53,4,18,BUF 50,14,10,"JK Scott punts 40 yards, fair catch by Deonte Harty at BUF-10",-0.060,0.380
3,12:46,1,10,BUF 10,14,10,"James Cook for 3 yards. James Cook fumbles (forced by Tuli Tuipulotu), recovered by Reggie Gilliam at BUF-13 (tackle by Tuli Tuipulotu)",-0.380,-0.560
3,12:17,2,7,BUF 13,14,10,Josh Allen pass deep left intended for Stefon Diggs is intercepted by Alohi Gilman at LAC-42 and returned for no gain (tackle by Stefon Diggs),-0.560,-1.730
3,12:08,1,10,LAC 42,14,10,Austin Ekeler right tackle for 9 yards (tackle by Taylor Rapp and Terrel Bernard),1.730,2.400
3,11:45,2,1,BUF 49,14,10,Austin Ekeler up the middle for 3 yards (tackle by Linval Joseph),2.400,2.520
3,11:10,1,10,BUF 46,14,10,Derius Davis left end for 8 yards (tackle by Christian Benford),2.520,3.060
3,10:35,2,2,BUF 38,14,10,Easton Stick left end for 21 yards (tackle by Taylor Rapp and Linval Joseph),3.060,4.440
3,9:50,1,10,BUF 17,14,10,Quentin Johnston right end for no gain (tackle by Christian Benford and Taylor Rapp) (no play),4.440,4.110
3,9:24,1,15,BUF 22,14,10,Easton Stick pass complete short right to Austin Ekeler for 2 yards (tackle by Taron Johnson and Christian Benford),4.110,3.490
3,8:46,2,13,BUF 20,14,10,Easton Stick pass complete short right to Isaiah Spiller for 4 yards (tackle by Tyrel Dodson),3.490,3.190
3,8:05,,,,,,Timeout #1 by Los Angeles Chargers,,
3,8:05,3,9,BUF 16,14,10,Easton Stick sacked by Poona Ford for -6 yards,3.190,1.990
3,7:26,4,15,BUF 22,14,13,Cameron Dicker 40 yard field goal good,1.990,3.000
3,7:22,,,LAC 35,14,13,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,7:22,1,10,BUF 25,14,13,James Cook up the middle for 4 yards (tackle by Otito Ogbonnia),0.610,0.600
3,6:47,2,6,BUF 29,14,13,James Cook right end for 3 yards (tackle by Derwin James and Otito Ogbonnia),0.600,0.300
3,6:10,3,3,BUF 32,14,13,Josh Allen pass complete short middle to Stefon Diggs for 4 yards (tackle by Kenneth Murray),0.300,1.330
3,5:30,1,10,BUF 36,14,13,James Cook up the middle for no gain (tackle by Khalil Mack and Nick Williams),1.330,0.790
3,4:48,2,10,BUF 36,14,13,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Michael Davis),0.790,0.890
3,4:07,3,4,BUF 42,14,13,Josh Allen pass complete short right to Khalil Shakir for 16 yards (tackle by Derwin James),0.890,2.790
3,3:22,1,10,LAC 42,14,13,Josh Allen pass complete deep left to Gabriel Davis for 36 yards,2.790,5.830
3,2:48,1,6,LAC 6,14,13,James Cook left end for 5 yards (tackle by Eric Kendricks),5.830,5.910
3,2:09,2,1,LAC 1,14,13,Leonard Fournette right guard for no gain (tackle by Derwin James and Otito Ogbonnia),5.910,5.170
3,1:32,3,1,LAC 1,20,13,"Josh Allen up the middle for 1 yard, touchdown",5.170,7.000
3,1:28,,,LAC 15,21,13,Tyler Bass kicks extra point good,0.000,0.000
3,1:28,,,BUF 35,21,13,"Tyler Bass kicks off 61 yards,",0.000,0.610
3,1:28,1,10,LAC 25,21,13,Easton Stick pass incomplete short middle,0.610,0.060
3,1:25,2,10,LAC 25,21,13,Easton Stick pass complete short right to Quentin Johnston for 8 yards (tackle by Von Miller and Christian Benford),0.060,0.430
3,0:47,3,2,LAC 33,21,13,Easton Stick pass complete short right to Alex Erickson for 3 yards (tackle by Rasul Douglas),0.430,1.330
3,0:11,1,10,LAC 36,21,13,Austin Ekeler left tackle for 2 yards (tackle by Poona Ford and Gregory Rousseau),1.330,1.060
Quarter,Time,Down,ToGo,Location,BUF,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,LAC 38,21,13,Easton Stick pass complete short right to Jalen Guyton for 12 yards (tackle by Christian Benford),1.060,2.260
4,14:20,1,10,LAC 50,21,13,Easton Stick pass incomplete short right intended for Josh Palmer (defended by Taron Johnson),2.260,1.710
4,14:17,2,10,LAC 50,21,13,Easton Stick pass complete deep left to Josh Palmer for 18 yards (tackle by Taylor Rapp),1.710,3.450
4,13:55,1,10,BUF 32,21,13,Easton Stick scrambles right end for 2 yards (tackle by Taron Johnson),3.450,3.170
4,13:23,2,8,BUF 30,21,13,Austin Ekeler left tackle for 1 yard (tackle by Tim Settle and Terrel Bernard),3.170,2.610
4,12:43,3,7,BUF 29,21,13,Easton Stick pass incomplete short right intended for Josh Palmer (defended by Taron Johnson),2.610,1.500
4,12:40,4,7,BUF 29,21,16,Cameron Dicker 47 yard field goal good,1.500,3.000
4,12:36,,,LAC 35,21,16,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,12:36,1,10,BUF 25,21,16,James Cook up the middle for 5 yards (tackle by Austin Johnson),0.610,0.740
4,11:55,2,5,BUF 30,21,16,"Josh Allen pass complete short right to James Cook for 6 yards (tackle by Eric Kendricks). Penalty on Spencer Brown: Tripping / Offense, 15 yards (accepted) (no play)",0.740,-1.430
4,11:36,2,20,BUF 15,21,16,"Josh Allen pass complete deep right to Gabriel Davis for no gain (tackle by Jaylinn Hawkins). Penalty on Mitch Morse: Offensive Holding, 7 yards (accepted) (no play)",-1.430,-2.020
4,11:06,2,27,BUF 8,21,16,Josh Allen scrambles up the middle for 4 yards (tackle by Kenneth Murray),-2.020,-2.940
4,10:20,3,23,BUF 12,21,16,Josh Allen sacked by and Eric Kendricks for -7 yards and Tuli Tuipulotu for -7 yards,-2.940,-2.490
4,9:28,,,,,,Timeout #1 by Buffalo Bills,,
4,9:28,4,30,BUF 5,21,16,"Penalty on Siran Neal: False Start, 2 yards (accepted) (no play)",-2.490,-2.490
4,9:28,4,32,BUF 3,21,16,"Sam Martin punts 58 yards, returned by Derius Davis for 13 yards (tackle by Tyler Matakevich and Reid Ferguson)",-2.490,-2.390
4,9:16,1,10,BUF 48,21,16,Easton Stick pass incomplete short left intended for Jalen Guyton,2.390,1.850
4,9:11,2,10,BUF 48,21,16,Easton Stick pass complete deep left to Alex Erickson for 23 yards (tackle by Christian Benford),1.850,3.910
4,8:49,1,10,BUF 25,21,16,Easton Stick pass incomplete deep right intended for Josh Palmer (no play),3.910,3.580
4,8:44,1,15,BUF 30,21,16,Easton Stick sacked by Ed Oliver for -7 yards,3.580,1.740
4,8:16,2,22,BUF 37,21,16,Easton Stick pass complete short middle to Gerald Everett for 4 yards (tackle by Taron Johnson),1.740,1.620
4,8:01,3,18,BUF 33,21,16,Easton Stick pass complete short middle to Derius Davis for 6 yards (tackle by Jordan Poyer),1.620,1.670
4,7:23,4,12,BUF 27,21,19,Cameron Dicker 45 yard field goal good,1.670,3.000
4,7:19,,,LAC 35,21,19,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,7:19,1,10,BUF 25,21,19,"James Cook up the middle for 5 yards. James Cook fumbles (forced by Alohi Gilman), recovered by Nick Williams at BUF-32 (tackle by Alohi Gilman)",0.610,-3.450
4,7:10,1,10,BUF 32,21,19,Austin Ekeler up the middle for 1 yard (tackle by Terrel Bernard),3.450,3.040
4,6:37,2,9,BUF 31,21,19,Easton Stick pass complete short right to Gerald Everett for 8 yards (tackle by Christian Benford),3.040,3.400
4,6:13,3,1,BUF 23,21,19,"Penalty on Brenden Jaimes: False Start, 4 yards (accepted) (no play)",3.400,2.870
4,6:13,3,5,BUF 27,21,19,Easton Stick sacked by Terrel Bernard for -8 yards,2.870,0.970
4,5:30,4,13,BUF 35,21,22,Cameron Dicker 53 yard field goal good,0.970,3.000
4,5:26,,,LAC 35,21,22,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,5:26,1,10,BUF 25,21,22,Josh Allen pass complete short middle to Dawson Knox for 17 yards (tackle by Derwin James),0.610,1.730
4,4:53,1,10,BUF 42,21,22,James Cook up the middle for 3 yards (tackle by Austin Johnson and Nick Williams),1.730,1.590
4,4:15,2,7,BUF 45,21,22,Josh Allen pass complete short left to Stefon Diggs for 8 yards (tackle by Asante Samuel and Derwin James),1.590,2.460
4,3:38,1,10,LAC 47,21,22,James Cook up the middle for 2 yards (tackle by Tuli Tuipulotu),2.460,2.180
4,3:00,2,8,LAC 45,21,22,Josh Allen pass incomplete deep left intended for Stefon Diggs,2.180,1.490
4,2:56,3,8,LAC 45,21,22,Josh Allen pass complete short right to Stefon Diggs for 11 yards (tackle by Essang Bassey),1.490,3.310
4,2:51,1,10,LAC 34,21,22,James Cook left end for 4 yards (tackle by Jaylinn Hawkins),3.310,3.310
4,2:45,2,6,LAC 30,21,22,James Cook left tackle for 2 yards (tackle by Eric Kendricks),3.310,2.870
4,2:34,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:34,3,4,LAC 28,21,22,"Josh Allen pass complete short right to Khalil Shakir for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Josh Allen pass complete short right to Khalil Shakir for 15 yards (tackle by Jaylinn Hawkins)",2.870,4.710
4,2:29,,,,,,Timeout #3 by Los Angeles Chargers,,
4,2:29,1,10,LAC 13,21,22,Leonard Fournette up the middle for 3 yards (tackle by Nick Williams),4.710,4.580
4,2:00,2,7,LAC 10,21,22,James Cook right guard for -3 yards (tackle by Austin Johnson),4.580,3.120
4,1:16,3,10,LAC 13,21,22,Josh Allen up the middle for 2 yards (tackle by Khalil Mack and Austin Johnson),3.120,2.700
4,0:31,,,,,,Timeout #2 by Buffalo Bills,,
4,0:31,4,8,LAC 11,24,22,"Tyler Bass 29 yard field goal good. Penalty on Asante Samuel: Defensive Offside, 5 yards (declined)",2.700,3.000
4,0:28,,,BUF 35,24,22,"Tyler Bass kicks off 51 yards, returned by Joshua Kelley for 16 yards (tackle by Baylon Spector and Tyler Matakevich)",0.000,0.940
4,0:22,1,10,LAC 30,24,22,Easton Stick sacked by Ed Oliver for -9 yards,0.940,-0.820
4,0:07,2,19,LAC 21,24,22,Easton Stick pass incomplete deep left intended for Quentin Johnston (defended by Christian Benford),-0.820,-1.480
4,0:01,,,,,,Timeout #3 by Buffalo Bills,,
4,0:01,3,19,LAC 21,24,22,"Easton Stick pass complete short right to Josh Palmer for 5 yards, lateral to Austin Ekeler for -2 yards, lateral to Easton Stick for -5 yards, lateral to Alex Erickson for 10 yards. Penalty on Alex Erickson: Illegal Forward Pass (accepted)",-1.480,-1.440
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
