Unnamed: 0,BUF,LAC
First Downs,16,18
Rush-Yds-TDs,30-105-2,27-98-1
Cmp-Att-Yd-TD-INT,15-21-237-1-1,23-33-215-0-0
Sacked-Yards,1-7,5-40
Net Pass Yards,230,175
Total Yards,335,273
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,7-64,6-29
Third Down Conv.,5-10,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:56,33:04
