Quarter,Time,Tm,Detail,CLE,SFO
1.0,13:17,49ers,Matt Breida 83 yard rush (Robbie Gould kick),0,7
,6:26,49ers,Matt Breida 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,14
2.0,11:22,Browns,Austin Seibert 30 yard field goal,3,14
,1:54,49ers,Tevin Coleman 19 yard rush (Robbie Gould kick),3,21
3.0,10:37,49ers,George Kittle 22 yard pass from Jimmy Garoppolo (Robbie Gould kick),3,28
4.0,5:08,49ers,Robbie Gould 44 yard field goal,3,31
