Quarter,Time,Tm,Detail,NYJ,MIA
1.0,3:09,Dolphins,Olindo Mare 53 yard field goal,0,3
,0:50,Dolphins,Randy McMichael 10 yard pass from Jay Fiedler (Olindo Mare kick),0,10
2.0,13:18,Dolphins,Olindo Mare 25 yard field goal,0,13
,9:34,Jets,John Hall 20 yard field goal,3,13
4.0,11:49,Dolphins,Olindo Mare 29 yard field goal,3,16
,4:54,Dolphins,Ricky Williams 53 yard rush (Olindo Mare kick),3,23
,1:55,Dolphins,Travis Minor 5 yard rush (Olindo Mare kick),3,30
