Unnamed: 0,PHI,PIT
First Downs,19,22
Rush-Yds-TDs,23-78-0,30-123-1
Cmp-Att-Yd-TD-INT,20-30-175-2-0,22-38-220-0-0
Sacked-Yards,3-7,0-0
Net Pass Yards,168,220
Total Yards,246,343
Fumbles-Lost,4-2,3-0
Turnovers,2,0
Penalties-Yards,5-35,9-106
Third Down Conv.,4-10,6-14
Fourth Down Conv.,2-2,0-1
Time of Possession,26:29,33:31
