Quarter,Time,Tm,Detail,PHI,TAM
1.0,11:46,Eagles,Nick Foles 4 yard rush (Alex Henery kick),7,0
,6:30,Buccaneers,Rian Lindell 38 yard field goal,7,3
2.0,14:46,Buccaneers,Vincent Jackson 24 yard pass from Mike Glennon (Rian Lindell kick),7,10
,7:05,Eagles,DeSean Jackson 12 yard pass from Nick Foles (Alex Henery kick),14,10
,1:02,Buccaneers,Vincent Jackson 1 yard pass from Mike Glennon (Rian Lindell kick),14,17
3.0,11:41,Eagles,Riley Cooper 47 yard pass from Nick Foles (Alex Henery kick),21,17
4.0,10:48,Buccaneers,Rian Lindell 27 yard field goal,21,20
,9:32,Eagles,DeSean Jackson 36 yard pass from Nick Foles (Alex Henery kick),28,20
,2:34,Eagles,Alex Henery 24 yard field goal,31,20
