Unnamed: 0,PHI,TAM
First Downs,21,19
Rush-Yds-TDs,33-138-1,21-94-0
Cmp-Att-Yd-TD-INT,22-31-296-3-0,26-43-273-2-1
Sacked-Yards,1-9,2-16
Net Pass Yards,287,257
Total Yards,425,351
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,3-31,8-72
Third Down Conv.,7-14,6-15
Fourth Down Conv.,0-0,1-2
Time of Possession,26:14,33:46
