Unnamed: 0,CLE,BUF
First Downs,9,13
Rush-Yds-TDs,41-171-0,35-145-0
Cmp-Att-Yd-TD-INT,2-17-23-0-1,16-31-152-0-1
Sacked-Yards,1-1,2-9
Net Pass Yards,22,143
Total Yards,193,288
Fumbles-Lost,0-0,2-2
Turnovers,1,3
Penalties-Yards,3-29,13-75
Third Down Conv.,4-16,6-17
Fourth Down Conv.,0-0,0-2
Time of Possession,28:26,31:34
