Unnamed: 0,MIN,IND
First Downs,12,24
Rush-Yds-TDs,18-80-1,40-151-1
Cmp-Att-Yd-TD-INT,11-26-113-0-3,19-25-214-1-1
Sacked-Yards,3-18,2-11
Net Pass Yards,95,203
Total Yards,175,354
Fumbles-Lost,0-0,1-0
Turnovers,3,1
Penalties-Yards,6-45,9-93
Third Down Conv.,2-9,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,21:35,38:25
