Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 71 yards, returned by Brandon Middleton for 22 yards (tackle by Omare Lowe)",0.000,0.340
1,14:54,1,10,DET 21,0,0,Kevin Smith up the middle for 2 yards (tackle by Justin Durant),0.340,0.070
1,14:17,2,8,DET 23,0,0,Daunte Culpepper pass incomplete short right intended for Calvin Johnson,0.070,-0.630
1,14:12,3,8,DET 23,0,0,Daunte Culpepper pass incomplete short middle intended for Calvin Johnson is intercepted by Rashean Mathis at DET-37 and returned for 14 yards (tackle by Calvin Johnson),-0.630,-4.040
1,14:01,1,10,DET 23,0,0,Fred Taylor up the middle for 6 yards (tackle by Leigh Bodden and Daniel Bullocks),4.040,4.380
1,13:26,2,4,DET 17,0,0,Fred Taylor up the middle for 1 yard (tackle by Ernie Sims),4.380,3.850
1,12:44,3,3,DET 16,0,0,David Garrard pass incomplete short right intended for Jerry Porter (defended by Leigh Bodden),3.850,2.480
1,12:40,4,3,DET 16,3,0,Josh Scobee 34 yard field goal good,2.480,3.000
1,,,,JAX 30,3,0,"Josh Scobee kicks off 70 yards, returned by Brandon Middleton for 26 yards (tackle by Troy Williamson)",0.000,0.670
1,12:28,1,10,DET 26,3,0,Kevin Smith right tackle for 1 yard (tackle by Rob Meier),0.670,0.270
1,11:47,2,9,DET 27,3,0,Kevin Smith right end for 4 yards (tackle by Reggie Hayward),0.270,0.100
1,11:07,3,5,DET 31,3,0,Daunte Culpepper sacked by Clint Ingram for -2 yards,0.100,-1.440
1,10:31,4,7,DET 29,3,0,"Nick Harris punts 43 yards, returned by Maurice Jones-Drew for 7 yards (tackle by Alex Lewis)",-1.440,-1.270
1,10:20,1,10,JAX 35,3,0,David Garrard pass incomplete deep left intended for Jerry Porter,1.270,0.720
1,10:14,2,10,JAX 35,3,0,Fred Taylor right tackle for -2 yards (tackle by Cliff Avril),0.720,-0.230
1,9:34,3,12,JAX 33,3,0,David Garrard pass complete short right to Maurice Jones-Drew for 6 yards (tackle by Jared DeVries),-0.230,-0.780
1,8:52,4,6,JAX 39,3,0,"Adam Podlesh punts 50 yards, returned by Shaun McDonald for 8 yards (tackle by Brian Iwuh)",-0.780,-0.150
1,8:40,1,10,DET 19,3,0,Kevin Smith right tackle for 4 yards (tackle by Justin Durant and Tony McDaniel),0.150,0.210
1,7:58,2,6,DET 23,3,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",0.210,-0.560
1,7:35,2,11,DET 18,3,0,Kevin Smith left end for -3 yards (tackle by Drayton Florence),-0.560,-1.760
1,7:03,3,14,DET 15,3,0,Daunte Culpepper pass complete deep left to Calvin Johnson for 51 yards (tackle by Rashean Mathis). Penalty on Rashean Mathis: Defensive Pass Interference (Declined),-1.760,3.310
1,6:42,1,10,JAX 34,3,0,Daunte Culpepper pass complete short right to Kevin Smith for 27 yards (tackle by Gerald Sensabaugh),3.310,5.600
1,6:10,1,7,JAX 7,3,0,Kevin Smith left tackle for 5 yards (tackle by Gerald Sensabaugh),5.600,5.720
1,5:30,2,2,JAX 2,3,0,Kevin Smith right tackle for -3 yards (tackle by Rob Meier),5.720,4.260
1,5:09,,,,3,0,Timeout #1 by Detroit Lions,0.000,4.260
1,4:46,3,5,JAX 5,3,0,"Daunte Culpepper up the middle for -1 yards (tackle by Rob Meier and Tony McDaniel). Penalty on Tony McDaniel: Face Mask (15 Yards), 3 yards",4.260,6.510
1,4:18,1,3,JAX 3,3,0,Kevin Smith left tackle for 2 yards (tackle by Justin Durant),6.510,5.910
1,3:39,2,1,JAX 1,3,6,"Drew Stanton pass complete short right to John Owens for 1 yard, touchdown",5.910,7.000
1,,,,JAX 2,3,7,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,3,7,"Jason Hanson kicks off 75 yards, touchback",0.000,0.280
1,3:33,1,10,JAX 20,3,7,Maurice Jones-Drew left tackle for 16 yards (tackle by Daniel Bullocks),0.280,1.330
1,2:53,1,10,JAX 36,3,7,Maurice Jones-Drew up the middle for no gain (tackle by Paris Lenon and Leigh Bodden),1.330,0.790
1,2:13,2,10,JAX 36,3,7,David Garrard pass complete short middle to Marcedes Lewis for 12 yards (tackle by Paris Lenon),0.790,2.130
1,1:33,1,10,JAX 48,3,7,David Garrard right end for 2 yards (tackle by Paris Lenon),2.130,1.850
1,1:00,2,8,,3,7,Maurice Jones-Drew up the middle for 7 yards (tackle by Daniel Bullocks and Ernie Sims),1.850,2.080
1,0:21,3,1,DET 43,3,7,David Garrard right end for 8 yards (tackle by Keith Smith),2.080,3.250
Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 35,3,7,David Garrard pass complete deep middle to Marcedes Lewis for 29 yards (tackle by Daniel Bullocks),3.250,5.830
2,14:20,1,6,DET 6,9,7,"Maurice Jones-Drew left end for 6 yards, touchdown",5.830,7.000
2,,,,DET 2,10,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,10,7,"Josh Scobee kicks off 74 yards, touchback",0.000,0.280
2,14:15,1,10,DET 20,10,7,Kevin Smith right end for 7 yards (tackle by Daryl Smith),0.280,0.680
2,13:31,2,3,DET 27,10,7,Kevin Smith left end for -1 yards (tackle by Daryl Smith),0.680,-0.160
