Unnamed: 0,JAX,DET
First Downs,24,13
Rush-Yds-TDs,33-157-3,27-103-1
Cmp-Att-Yd-TD-INT,18-27-238-2-0,11-18-198-1-1
Sacked-Yards,1-11,7-45
Net Pass Yards,227,153
Total Yards,384,256
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-33,6-46
Third Down Conv.,5-10,4-13
Fourth Down Conv.,1-1,1-2
Time of Possession,30:59,29:01
