Quarter,Time,Tm,Detail,JAX,DET
1.0,12:37,Jaguars,Josh Scobee 34 yard field goal,3,0
,3:33,Lions,John Owens 1 yard pass from Drew Stanton (Jason Hanson kick),3,7
2.0,14:15,Jaguars,Maurice Jones-Drew 6 yard rush (Josh Scobee kick),10,7
,8:03,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),17,7
,0:39,Jaguars,Maurice Jones-Drew 8 yard rush (Josh Scobee kick),24,7
3.0,5:40,Jaguars,Jerry Porter 7 yard pass from David Garrard (Josh Scobee kick),31,7
4.0,14:56,Jaguars,Troy Williamson 10 yard pass from David Garrard (Josh Scobee kick),38,7
,6:02,Lions,Kevin Smith 1 yard rush (Jason Hanson kick),38,14
