Quarter,Time,Tm,Detail,PHI,NOR
1.0,2:36,Saints,Patrick Robinson 99 yard interception return (Garrett Hartley kick),0,7
2.0,12:03,Eagles,Alex Henery 22 yard field goal,3,7
,8:33,Saints,Chris Ivory 22 yard rush (Garrett Hartley kick),3,14
,1:13,Saints,Marques Colston 1 yard pass from Drew Brees (Garrett Hartley kick),3,21
3.0,8:42,Eagles,DeSean Jackson 77 yard pass from Michael Vick (Alex Henery kick),10,21
,7:00,Eagles,Alex Henery 37 yard field goal,13,21
,1:20,Saints,Jimmy Graham 6 yard pass from Drew Brees (Garrett Hartley kick),13,28
