Unnamed: 0,PHI,NOR
First Downs,24,20
Rush-Yds-TDs,29-221-0,25-140-1
Cmp-Att-Yd-TD-INT,22-41-272-1-1,21-27-239-2-0
Sacked-Yards,7-46,2-8
Net Pass Yards,226,231
Total Yards,447,371
Fumbles-Lost,2-1,3-2
Turnovers,2,2
Penalties-Yards,7-58,4-35
Third Down Conv.,6-16,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,33:30,26:30
