Quarter,Time,Tm,Detail,PHI,NYG
1.0,4:14,Eagles,Miles Sanders 3 yard rush (Jake Elliott kick),7,0
2.0,12:05,Eagles,DeVonta Smith 41 yard pass from Jalen Hurts (Jake Elliott kick),14,0
,8:16,Eagles,A.J. Brown 33 yard pass from Jalen Hurts (Jake Elliott kick),21,0
,2:57,Giants,Isaiah Hodgins 2 yard pass from Daniel Jones (Graham Gano kick),21,7
,0:54,Eagles,Jake Elliott 29 yard field goal,24,7
3.0,11:21,Eagles,Jake Elliott 39 yard field goal,27,7
,5:40,Giants,Daniel Jones 1 yard rush (Graham Gano kick),27,14
,1:41,Eagles,Jalen Hurts 10 yard rush (Jake Elliott kick),34,14
4.0,6:01,Eagles,Miles Sanders 40 yard rush (Jake Elliott kick),41,14
,3:09,Eagles,Boston Scott 3 yard rush (Jake Elliott kick),48,14
,0:39,Giants,Richie James 19 yard pass from Tyrod Taylor (Isaiah Hodgins pass from Tyrod Taylor),48,22
