Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 61 yards, returned by Gary Brightwell for 20 yards (tackle by Zach Pascal)",0.000,0.540
1,14:55,1,10,NYG 24,0,0,Saquon Barkley left guard for 4 yards (tackle by Linval Joseph and Haason Reddick),0.540,0.540
1,14:23,2,6,NYG 28,0,0,Daniel Jones pass complete short right to Isaiah Hodgins for 14 yards (tackle by Marcus Epps),0.540,1.730
1,13:50,1,10,NYG 42,0,0,Daniel Jones sacked by Josh Sweat for -7 yards,1.730,0.240
1,13:11,2,17,NYG 35,0,0,Daniel Jones pass incomplete short left intended for Matt Breida,0.240,-0.430
1,13:04,3,17,NYG 35,0,0,Daniel Jones sacked by Haason Reddick for -2 yards,-0.430,-1.180
1,12:27,4,19,NYG 33,0,0,"Jamie Gillan punts 52 yards, returned by Britain Covey for 1 yard (tackle by Zyon Gilbert)",-1.180,0.140
1,12:19,1,10,PHI 16,0,0,Jalen Hurts pass complete short right to Grant Calcaterra for 13 yards (tackle by Nick McCloud),-0.140,0.870
1,11:42,1,10,PHI 29,0,0,Miles Sanders right guard for 4 yards (tackle by Henry Mondeaux and Tony Jefferson),0.870,0.870
1,11:02,2,6,PHI 33,0,0,Jalen Hurts pass complete short left to Miles Sanders for 11 yards (tackle by Micah McFadden and Julian Love),0.870,1.860
1,10:21,1,10,PHI 44,0,0,Jalen Hurts right guard for 9 yards (tackle by Henry Mondeaux),1.860,2.530
1,9:39,2,1,NYG 47,0,0,Jalen Hurts pass complete short middle to Zach Pascal for 5 yards (tackle by Jaylon Smith),2.530,2.790
1,8:56,1,10,NYG 42,0,0,Jalen Hurts pass incomplete short left intended for A.J. Brown,2.790,2.240
1,8:51,2,10,NYG 42,0,0,Jalen Hurts pass complete short right to Boston Scott for 4 yards (tackle by Julian Love and Azeez Ojulari),2.240,2.080
1,8:08,3,6,NYG 38,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 7 yards (tackle by Fabian Moreau),2.080,3.510
1,7:39,1,10,NYG 31,0,0,Jalen Hurts pass complete short left to Quez Watkins for 3 yards (tackle by Julian Love),3.510,3.370
1,7:04,2,7,NYG 28,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 1 yard (tackle by Jaylon Smith),3.370,2.810
1,6:18,3,6,NYG 27,0,0,"Jalen Hurts pass complete short right to A.J. Brown for no gain. Penalty on Fabian Moreau: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)",2.810,4.040
1,5:52,1,10,NYG 23,0,0,Jalen Hurts pass complete short middle to Grant Calcaterra for 11 yards (tackle by Julian Love),4.040,4.780
1,5:26,1,10,NYG 12,0,0,Miles Sanders left end for no gain (tackle by Micah McFadden and Julian Love),4.780,4.100
1,4:41,2,10,NYG 12,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Nick McCloud),4.100,5.060
1,4:20,3,1,NYG 3,6,0,"Miles Sanders right guard for 3 yards, touchdown",5.060,7.000
1,4:14,,,NYG 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,4:14,,,PHI 35,7,0,"Jake Elliott kicks off 63 yards, returned by Gary Brightwell for 19 yards (tackle by Christian Elliss)",0.000,0.340
1,4:09,1,10,NYG 21,7,0,Gary Brightwell up the middle for 13 yards (tackle by Marcus Epps),0.340,1.200
1,3:39,1,10,NYG 34,7,0,Gary Brightwell right guard for 4 yards (tackle by Fletcher Cox),1.200,1.200
1,3:05,2,6,NYG 38,7,0,Daniel Jones pass complete short left to Richie James for -1 yards (tackle by T.J. Edwards),1.200,0.370
1,2:21,3,7,NYG 37,7,0,Daniel Jones pass incomplete deep middle intended for Isaiah Hodgins,0.370,-0.910
1,2:12,4,7,NYG 37,7,0,"Jamie Gillan punts 46 yards, returned by Britain Covey for no gain (tackle by Casey Kreiter and Chris Myarick). Penalty on Zech McPhearson: Offensive Holding, 8 yards (accepted)",-0.910,0.380
1,2:00,1,10,PHI 9,7,0,Jalen Hurts pass incomplete deep right intended for Miles Sanders,-0.380,-0.780
1,1:52,2,10,PHI 9,7,0,Jalen Hurts pass complete short middle to Jack Stoll for 6 yards (tackle by Micah McFadden and Jaylon Smith),-0.780,-0.720
1,1:10,3,4,PHI 15,7,0,Jalen Hurts pass complete short left to Quez Watkins for 9 yards (tackle by Fabian Moreau),-0.720,0.540
1,0:44,1,10,PHI 24,7,0,"Jalen Hurts pass incomplete short middle intended for A.J. Brown. Penalty on Fabian Moreau: Defensive Holding, 5 yards (accepted) (no play)",0.540,0.870
1,0:38,1,10,PHI 29,7,0,Miles Sanders left guard for 4 yards (tackle by Jihad Ward),0.870,0.870
Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,PHI 33,7,0,Jalen Hurts pass incomplete short left intended for Grant Calcaterra,0.870,0.170
2,14:57,3,6,PHI 33,7,0,Jalen Hurts scrambles up the middle for 8 yards (tackle by Cordale Flott),0.170,1.660
