Unnamed: 0,PHI,NYG
First Downs,27,18
Rush-Yds-TDs,31-253-4,24-123-1
Cmp-Att-Yd-TD-INT,21-31-217-2-0,23-32-216-2-0
Sacked-Yards,4-33,7-35
Net Pass Yards,184,181
Total Yards,437,304
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,2-9,5-34
Third Down Conv.,6-11,4-13
Fourth Down Conv.,1-1,2-4
Time of Possession,32:30,27:30
