Unnamed: 0,CHI,DET
First Downs,22,18
Rush-Yds-TDs,15-43-0,20-91-0
Cmp-Att-Yd-TD-INT,31-46-314-1-3,25-33-237-2-0
Sacked-Yards,2-8,4-35
Net Pass Yards,306,202
Total Yards,349,293
Fumbles-Lost,1-0,1-1
Turnovers,3,1
Penalties-Yards,13-97,8-58
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:55,29:05
