Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,6,"Jeff Reed kicks off 61 yards, returned by Willie Ponder for 91 yards, touchdown. Penalty on Visanthe Shiancoe: Taunting, 15 yards",0.000,7.000
1,,,,PIT 2,0,7,Steve Christie kicks extra point good,0.000,0.000
1,,,,NYG 15,0,7,"Steve Christie kicks off 53 yards, returned by Ricardo Colclough for 17 yards (tackle by David Tyree)",0.000,2.190
1,14:40,1,10,PIT 49,0,7,Jerome Bettis right tackle for 4 yards (tackle by Nick Greisen and Osi Umenyiora),2.190,2.190
1,14:07,2,6,NYG 47,0,7,Jerome Bettis right tackle for 2 yards (tackle by Nick Greisen and Brent Alexander),2.190,1.750
1,13:33,3,4,NYG 45,0,7,Ben Roethlisberger pass complete to Lee Mays for 12 yards (tackle by Will Allen),1.750,3.380
1,12:58,1,10,NYG 33,0,7,Ben Roethlisberger pass incomplete intended for Hines Ward,3.380,2.840
1,12:40,2,10,NYG 33,0,7,Jerome Bettis up the middle for 5 yards (tackle by Kenderick Allen),2.840,2.810
1,12:05,3,5,NYG 28,0,7,Ben Roethlisberger pass incomplete intended for Lee Mays is intercepted by Frank Walker at NYG-9 and returned for 10 yards (tackle by Verron Haynes),2.810,-0.150
1,11:47,1,10,NYG 19,0,7,Tiki Barber up the middle for 6 yards (tackle by Larry Foote and Chris Hope),0.150,0.480
1,11:20,2,4,NYG 25,0,7,Tiki Barber right guard for -1 yards (tackle by James Farrior and Larry Foote),0.480,-0.420
1,10:44,3,5,NYG 24,0,7,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Troy Polamalu),-0.420,-1.770
1,10:32,4,5,NYG 24,0,7,Jeff Feagles punts 31 yards,-1.770,-1.930
1,10:20,1,10,PIT 45,0,7,Ben Roethlisberger pass complete to Hines Ward for 10 yards,1.930,2.590
1,10:07,1,10,NYG 45,0,7,Jerome Bettis left end for -2 yards (tackle by Osi Umenyiora),2.590,1.770
1,9:27,2,12,NYG 47,0,7,Ben Roethlisberger pass complete to Antwaan Randle El for 34 yards (tackle by Terry Cousin),1.770,4.710
1,8:55,1,10,NYG 13,0,7,Jerome Bettis right tackle for 1 yard (tackle by Carlos Emmons and Nick Greisen),4.710,4.220
1,8:15,2,9,NYG 12,0,7,Jerome Bettis left guard for 2 yards (tackle by Osi Umenyiora and Jim Maxwell),4.220,3.650
1,7:35,3,7,NYG 10,6,7,"Antwaan Randle El pass complete to Verron Haynes for 10 yards, touchdown",3.650,7.000
1,,,,NYG 2,7,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,7,"Jeff Reed kicks off 58 yards, returned by Willie Ponder for 33 yards (tackle by Jeff Reed)",0.000,1.930
1,7:18,1,10,NYG 45,7,7,Tiki Barber left end for 35 yards (tackle by Chris Hope),1.930,4.240
1,6:53,1,10,PIT 20,7,7,Tiki Barber right tackle for 7 yards (tackle by Chris Hope and Willie J. Williams),4.240,4.830
1,6:19,2,3,PIT 13,7,7,Ron Dayne left guard for 2 yards (tackle by Larry Foote),4.830,4.590
1,5:37,3,1,PIT 11,7,7,Tiki Barber up the middle for 3 yards,4.590,5.370
1,4:59,1,8,PIT 8,7,7,Tiki Barber right tackle for 6 yards (tackle by Troy Polamalu and Joey Porter),5.370,5.720
1,4:12,2,2,PIT 2,7,13,"Eli Manning pass complete to Jeremy Shockey for 2 yards, touchdown",5.720,7.000
1,,,,PIT 2,7,14,Steve Christie kicks extra point good,0.000,0.000
1,,,,NYG 30,7,14,"Steve Christie kicks off 56 yards, returned by Ike Taylor for 22 yards (tackle by Jack Brewer)",0.000,1.330
1,3:57,1,10,PIT 36,7,14,Ben Roethlisberger pass complete to Antwaan Randle El for 39 yards (tackle by Will Allen),1.330,3.910
1,3:18,1,10,NYG 25,7,14,Jerome Bettis left tackle for 1 yard (tackle by Kevin Lewis and Carlos Emmons),3.910,3.500
1,2:33,2,9,NYG 24,7,14,Jerome Bettis up the middle for 9 yards (tackle by Kenderick Allen and Carlos Emmons),3.500,4.580
1,2:01,1,10,NYG 15,7,14,Jerome Bettis left guard for -1 yards (tackle by Osi Umenyiora and Nick Greisen),4.580,3.810
1,1:16,2,11,NYG 16,7,14,Jerome Bettis up the middle for 1 yard (tackle by Nick Greisen and Lance LeGree),3.810,3.100
