Unnamed: 0,PIT,NYG
First Downs,27,18
Rush-Yds-TDs,39-160-1,21-96-1
Cmp-Att-Yd-TD-INT,19-29-326-2-2,16-23-182-2-1
Sacked-Yards,3-17,0-0
Net Pass Yards,309,182
Total Yards,469,278
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,2-14,5-55
Third Down Conv.,8-16,2-7
Fourth Down Conv.,1-1,0-0
Time of Possession,35:43,24:17
