Quarter,Time,Tm,Detail,PIT,NYG
1.0,14:45,Giants,Willie Ponder 91 yard kickoff return (Steve Christie kick),0,7
,7:26,Steelers,Verron Haynes 10 yard pass from Antwaan Randle El (Jeff Reed kick),7,7
,4:02,Giants,Jeremy Shockey 2 yard pass from Eli Manning (Steve Christie kick),7,14
,0:19,Steelers,Jeff Reed 33 yard field goal,10,14
2.0,5:36,Steelers,Antwaan Randle El 35 yard pass from Ben Roethlisberger (Jeff Reed kick),17,14
,0:14,Steelers,Jeff Reed 21 yard field goal,20,14
3.0,8:35,Giants,Steve Christie 22 yard field goal,20,17
,4:15,Steelers,Jeff Reed 36 yard field goal,23,17
,0:29,Giants,Marcellus Rivers 1 yard pass from Eli Manning (Steve Christie kick),23,24
4.0,11:35,Steelers,Jeff Reed 28 yard field goal,26,24
,8:15,Giants,Tiki Barber 1 yard rush (pass failed),26,30
,4:57,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),33,30
