Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,P.J. Pope up the middle for 3 yards (tackle by Kawika Mitchell),0.280,0.140
1,14:31,2,7,DEN 23,0,0,P.J. Pope right tackle for 6 yards (tackle by Kawika Mitchell),0.140,0.230
1,13:53,3,1,DEN 29,0,0,P.J. Pope left end for 20 yards (tackle by Paul Posluszny and Donte Whitner),0.230,2.190
1,13:11,1,10,DEN 49,0,0,P.J. Pope up the middle for 7 yards (tackle by Bryan Scott),2.190,2.590
1,12:32,2,3,BUF 44,0,0,Jay Cutler pass complete deep left to Darrell Jackson for 30 yards (tackle by Leodis McKelvin),2.590,4.650
1,11:45,1,10,BUF 14,0,0,Jay Cutler left end for 6 yards (tackle by Paul Posluszny),4.650,5.090
1,11:20,2,4,BUF 8,0,0,P.J. Pope right end for 6 yards (tackle by Kyle Williams),5.090,6.740
1,10:38,1,2,BUF 2,0,6,"Jay Cutler left end for 2 yards, touchdown",6.740,7.000
1,,,,BUF 2,0,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Matt Prater kicks off 63 yards, returned by Leodis McKelvin for 31 yards (tackle by Matt Prater)",0.000,1.470
1,10:25,1,10,BUF 38,0,7,Marshawn Lynch left guard for 1 yard (tackle by Champ Bailey),1.470,1.060
1,9:46,2,9,BUF 39,0,7,"Trent Edwards sacked by Champ Bailey for -8 yards. Trent Edwards fumbles (forced by Champ Bailey), recovered by Marshawn Lynch at BUF-32 and returned for 2 yards",1.060,-0.290
1,8:59,3,14,BUF 34,0,7,Trent Edwards pass incomplete short left intended for Lee Evans,-0.290,-1.110
1,8:54,4,14,BUF 34,0,7,"Brian Moorman punts 57 yards, returned by Eddie Royal for 12 yards (tackle by Blake Costanzo). Penalty on Herana-Daze Jones: Illegal Block Above the Waist, 5 yards",-1.110,0.380
1,8:42,1,10,DEN 6,0,7,P.J. Pope right guard for 2 yards (tackle by Kawika Mitchell and Chris Kelsay),-0.380,-0.630
1,8:01,2,8,DEN 8,0,7,Tatum Bell right tackle for 2 yards (tackle by Keith Ellison and Chris Kelsay),-0.630,-0.950
1,7:19,3,6,DEN 10,0,7,Jay Cutler left end for 10 yards (tackle by Keith Ellison),-0.950,0.280
1,6:31,1,10,DEN 20,0,7,Eddie Royal left end for 71 yards (tackle by Terrence McGee),0.280,5.140
1,5:38,,,,0,7,Timeout #1 by Denver Broncos,0.000,5.140
1,5:38,1,9,BUF 9,0,7,Jay Cutler pass complete short right to Brandon Marshall for 4 yards (tackle by Leodis McKelvin),5.140,5.150
1,5:11,2,5,BUF 5,0,7,Jay Cutler pass incomplete short left intended for Brandon Stokley,5.150,4.260
1,5:07,3,5,BUF 5,0,7,Jay Cutler pass incomplete short left intended for Tatum Bell (defended by Copeland Bryan),4.260,3.010
1,5:01,4,5,BUF 5,0,10,Matt Prater 23 yard field goal good,3.010,3.000
1,,,,DEN 30,0,10,"Matt Prater kicks off 63 yards, returned by Leodis McKelvin for 23 yards (tackle by Herana-Daze Jones)",0.000,0.940
1,4:52,1,10,BUF 30,0,10,Trent Edwards pass incomplete short right intended for Marshawn Lynch,0.940,0.390
1,4:47,2,10,BUF 30,0,10,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",0.390,-0.280
1,4:47,2,15,BUF 25,0,10,"Trent Edwards pass incomplete short left intended for Josh Reed. Penalty on Trent Edwards: Intentional Grounding, 10 yards",-0.280,-2.840
1,4:43,3,25,BUF 15,0,10,Trent Edwards pass complete short right to Josh Reed for 2 yards (tackle by Dre' Bly),-2.840,-2.320
1,4:07,4,23,BUF 17,0,10,Brian Moorman punts 48 yards,-2.320,-1.270
1,3:55,1,10,DEN 35,0,10,Tatum Bell left tackle for 1 yard (tackle by Ryan Denney),1.270,0.860
1,3:20,2,9,DEN 36,0,10,Jay Cutler pass complete short middle to Brandon Marshall for 18 yards (tackle by Keith Ellison),0.860,2.520
1,2:43,1,10,BUF 46,0,10,Tatum Bell right tackle for 2 yards (tackle by Kyle Williams and Spencer Johnson),2.520,2.250
1,2:04,2,8,BUF 44,0,10,Jay Cutler pass complete short left to Brandon Marshall for 9 yards (tackle by Terrence McGee),2.250,3.250
1,1:23,1,10,BUF 35,0,10,Jay Cutler pass incomplete short right intended for Eddie Royal,3.250,2.700
1,1:17,2,10,BUF 35,0,10,Jay Cutler pass complete short right to Eddie Royal for 11 yards (tackle by Leodis McKelvin),2.700,3.970
1,0:32,1,10,BUF 24,0,10,Selvin Young right tackle for 3 yards (tackle by Spencer Johnson and Terrence McGee),3.970,3.840
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,BUF 21,0,10,Selvin Young left end for 7 yards (tackle by Corey Mace),3.840,4.650
2,14:39,1,10,BUF 14,0,10,Selvin Young right end for -1 yards (tackle by Terrence McGee),4.650,3.850
2,13:59,2,11,BUF 15,0,10,Jay Cutler pass complete short left to Tatum Bell for 3 yards (tackle by Terrence McGee),3.850,3.430
2,13:20,3,8,BUF 12,0,10,Jay Cutler pass incomplete short left intended for Brandon Marshall (defended by Ryan Denney),3.430,2.630
2,13:17,4,8,BUF 12,0,13,Matt Prater 30 yard field goal good,2.630,3.000
2,,,,DEN 30,0,13,"Matt Prater kicks off 61 yards, returned by Leodis McKelvin for 16 yards (tackle by Herana-Daze Jones)",0.000,0.610
2,13:07,1,10,BUF 25,0,13,Marshawn Lynch left tackle for 3 yards (tackle by Marcus Thomas),0.610,0.470
2,12:27,2,7,BUF 28,0,13,Trent Edwards pass complete short right to Josh Reed for 9 yards (tackle by Champ Bailey),0.470,1.400
2,11:49,1,10,BUF 37,0,13,Marshawn Lynch up the middle for 9 yards (tackle by D.J. Williams and Marquand Manuel),1.400,2.070
2,11:10,2,1,BUF 46,0,13,Marshawn Lynch up the middle for 6 yards (tackle by Marquand Manuel),2.070,2.390
2,10:30,1,10,DEN 48,0,13,Fred Jackson up the middle for 2 yards (tackle by D.J. Williams and Ebenezer Ekuban),2.390,2.120
2,9:47,2,8,DEN 46,0,13,Trent Edwards pass incomplete short left intended for Lee Evans,2.120,1.420
2,9:42,3,8,DEN 46,0,13,"Trent Edwards pass complete short left to Roscoe Parrish for 14 yards (tackle by Josh Barrett). Penalty on Elvis Dumervil: Roughing the Passer, 15 yards",1.420,4.440
2,9:17,1,10,DEN 17,0,13,Marshawn Lynch left tackle for -5 yards (tackle by Jamie Winborn and Vernon Fox),4.440,3.220
2,8:34,2,15,DEN 22,0,13,Trent Edwards pass complete short middle to Josh Reed for 3 yards (tackle by Jamie Winborn),3.220,2.910
2,7:50,3,12,DEN 19,0,13,Trent Edwards pass incomplete short left intended for Roscoe Parrish (defended by Jamie Winborn),2.910,2.180
2,7:48,4,12,DEN 19,3,13,Rian Lindell 37 yard field goal good,2.180,3.000
2,,,,BUF 30,3,13,"Rian Lindell kicks off 64 yards, returned by Selvin Young for 26 yards (tackle by George Wilson)",0.000,1.070
2,7:34,1,10,DEN 32,3,13,Selvin Young up the middle for 8 yards (tackle by Paul Posluszny),1.070,1.610
2,7:02,2,2,DEN 40,3,13,Selvin Young up the middle for -3 yards (tackle by Ryan Denney),1.610,0.500
2,6:28,3,5,DEN 37,3,13,Jay Cutler pass complete short left to Eddie Royal for 8 yards (tackle by Leodis McKelvin),0.500,1.930
2,5:43,1,10,DEN 45,3,13,Jay Cutler left end for 4 yards (tackle by Marcus Stroud),1.930,1.920
2,5:06,,,,3,13,Timeout #2 by Denver Broncos,0.000,1.920
2,5:06,2,6,DEN 49,3,13,Jay Cutler pass complete short right to Eddie Royal for 12 yards (tackle by Leodis McKelvin),1.920,2.980
2,4:30,1,10,BUF 39,3,13,Tatum Bell right tackle for 12 yards (tackle by Bryan Scott),2.980,3.780
2,3:54,1,10,BUF 27,3,13,"Tatum Bell left end for 3 yards (tackle by Reggie Corner). Penalty on Casey Wiegmann: Offensive Holding, 10 yards (no play)",3.780,3.120
2,3:16,1,20,BUF 37,3,13,Jay Cutler left end for -6 yards (tackle by Bryan Scott),3.120,1.070
2,2:44,2,26,BUF 43,3,13,"Penalty on Jay Cutler: Delay of Game, 5 yards (no play)",1.070,0.400
2,2:24,2,31,BUF 48,3,13,Jay Cutler pass incomplete short left intended for Selvin Young,0.400,-0.230
2,2:20,3,31,BUF 48,3,13,Jay Cutler pass complete short left to Brandon Marshall for 12 yards (tackle by Reggie Corner),-0.230,0.880
2,2:00,4,19,BUF 36,3,13,Matt Prater 54 yard field goal no good,0.880,-1.860
2,1:55,1,10,BUF 44,3,13,Trent Edwards pass complete short middle to Lee Evans for 6 yards (tackle by Jamie Winborn),1.860,2.130
2,1:36,2,4,,3,13,Fred Jackson up the middle for 8 yards (tackle by Jamie Winborn and Wesley Woodyard),2.130,2.790
2,1:28,,,,3,13,Timeout #1 by Buffalo Bills,0.000,2.790
2,1:28,1,10,DEN 42,3,13,Marshawn Lynch up the middle for 5 yards (tackle by Nic Clemons and Vernon Fox),2.790,2.920
2,1:03,2,5,DEN 37,3,13,Trent Edwards pass complete short middle to Josh Reed for 11 yards (tackle by Wesley Woodyard),2.920,3.840
2,0:41,1,10,DEN 26,3,13,Trent Edwards pass complete short left to Lee Evans for 13 yards (tackle by Josh Bell),3.840,4.710
2,0:36,1,10,DEN 13,3,13,Trent Edwards pass incomplete short middle intended for Robert Royal (defended by Jamie Winborn),4.710,4.050
2,0:30,2,10,DEN 13,3,13,Trent Edwards pass complete short left to Josh Reed for 8 yards (tackle by Josh Bell),4.050,4.780
2,0:27,3,2,DEN 5,3,13,Marshawn Lynch up the middle for 3 yards (tackle by Champ Bailey and Vernon Fox),4.780,6.740
2,0:19,,,,3,13,Timeout #2 by Buffalo Bills,0.000,6.740
2,0:19,1,2,DEN 2,9,13,"Marshawn Lynch left end for 2 yards, touchdown",6.740,7.000
2,,,,DEN 2,10,13,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,10,13,Rian Lindell kicks off 48 yards,0.000,0.410
2,0:11,1,10,DEN 22,10,13,Jay Cutler kneels for -1 yards,0.410,-0.270
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
