Quarter,Time,Tm,Detail,BUF,DEN
1.0,10:32,Broncos,Jay Cutler 2 yard rush (Matt Prater kick),0,7
,4:57,Broncos,Matt Prater 23 yard field goal,0,10
2.0,13:12,Broncos,Matt Prater 30 yard field goal,0,13
,7:43,Bills,Rian Lindell 37 yard field goal,3,13
,0:15,Bills,Marshawn Lynch 2 yard rush (Rian Lindell kick),10,13
3.0,9:52,Bills,Rian Lindell 49 yard field goal,13,13
,4:58,Bills,Rian Lindell 28 yard field goal,16,13
,0:38,Broncos,Jay Cutler 6 yard rush (Matt Prater kick),16,20
4.0,12:47,Bills,Stevie Johnson 3 yard pass from Trent Edwards (Rian Lindell kick),23,20
,11:03,Broncos,Matt Prater 43 yard field goal,23,23
,8:54,Bills,Fred Jackson 8 yard rush (Rian Lindell kick),30,23
