Unnamed: 0,GNB,CAR
First Downs,22,17
Rush-Yds-TDs,47-152-2,13-38-0
Cmp-Att-Yd-TD-INT,15-22-143-1-0,23-40-284-2-1
Sacked-Yards,2-16,2-22
Net Pass Yards,127,262
Total Yards,279,300
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,8-77,9-59
Third Down Conv.,10-16,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,38:04,21:56
