Quarter,Time,Tm,Detail,GNB,CAR
1.0,3:28,Packers,Ryan Longwell 41 yard field goal,3,0
2.0,7:43,Panthers,Brad Hoover 1 yard pass from Jake Delhomme (John Kasay kick),3,7
,3:25,Packers,Ahman Green 6 yard rush (Ryan Longwell kick),10,7
3.0,10:59,Packers,Ahman Green 3 yard rush (Ryan Longwell kick),17,7
,2:01,Packers,Ahman Green 3 yard pass from Brett Favre (Ryan Longwell kick),24,7
4.0,4:46,Panthers,Muhsin Muhammad 30 yard pass from Jake Delhomme (John Kasay kick),24,14
