Quarter,Time,Down,ToGo,Location,CAR,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Case Keenum pass complete short right to Lance Kendricks for 15 yards (tackle by James Bradberry),0.610,1.600
1,14:33,1,10,LAR 40,0,0,Todd Gurley right guard for 2 yards (tackle by Thomas Davis),1.600,1.320
1,13:57,2,8,LAR 42,0,0,Todd Gurley left guard for no gain (tackle by Kawann Short),1.320,0.630
1,13:21,3,8,LAR 42,0,0,Case Keenum pass complete short middle to Kenny Britt for 15 yards (tackle by Tre Boston),0.630,2.720
1,12:43,1,10,CAR 43,0,0,Benny Cunningham middle for 4 yards (tackle by Michael Griffin),2.720,2.720
1,12:05,2,6,CAR 39,0,0,Todd Gurley left end for 2 yards (tackle by Tre Boston),2.720,2.280
1,11:28,3,4,CAR 37,0,0,Case Keenum pass incomplete short middle intended for Lance Kendricks (defended by Kawann Short),2.280,0.790
1,11:22,4,4,CAR 37,0,0,Greg Zuerlein 55 yard field goal no good,0.790,-1.930
1,11:16,1,10,CAR 45,0,0,Cam Newton pass incomplete short right intended for Devin Funchess (defended by Josh Forrest),1.930,1.380
1,11:12,2,10,CAR 45,0,0,Cam Newton pass complete short left to Greg Olsen for 7 yards (tackle by Alec Ogletree),1.380,1.620
1,10:36,3,3,LAR 48,0,0,Cam Newton sacked by Cam Thomas for -5 yards,1.620,-0.260
1,9:59,4,8,CAR 47,0,0,"Andy Lee punts 52 yards, returned by Tavon Austin for 2 yards (tackle by Corey Brown)",-0.260,0.380
1,9:48,1,10,LAR 3,0,0,Todd Gurley middle for 2 yards (tackle by Kawann Short),-0.380,-0.630
1,9:13,2,8,LAR 5,0,0,Case Keenum pass incomplete short right intended for Lance Kendricks (defended by Charles Johnson),-0.630,-1.190
1,9:09,3,8,LAR 5,0,0,Case Keenum pass incomplete short left intended for Benny Cunningham (defended by Mario Addison),-1.190,-2.490
1,9:03,4,8,LAR 5,0,0,Johnny Hekker punts 48 yards,-2.490,-2.060
1,8:51,1,10,CAR 47,0,0,Jonathan Stewart right guard for 4 yards (tackle by Alec Ogletree and Dominique Easley),2.060,2.060
1,8:06,2,6,LAR 49,0,0,Cam Newton pass complete short right to Ted Ginn for 12 yards (tackle by Trumaine Johnson),2.060,3.120
1,7:24,1,10,LAR 37,0,0,Cam Newton pass complete short middle to Ed Dickson for 11 yards (tackle by Lamarcus Joyner),3.120,3.840
1,6:43,1,10,LAR 26,0,0,Jonathan Stewart middle for no gain (tackle by Dominique Easley),3.840,3.300
1,6:08,2,10,LAR 26,0,0,Cam Newton pass complete short right to Kelvin Benjamin for 6 yards (tackle by Trumaine Johnson),3.300,3.400
1,5:26,3,4,LAR 20,0,0,Cam Newton middle for 6 yards (tackle by Aaron Donald),3.400,4.650
1,4:40,1,10,LAR 14,0,0,Cam Newton pass incomplete short middle intended for Devin Funchess (defended by E.J. Gaines),4.650,4.000
1,4:34,2,10,LAR 14,0,0,Jonathan Stewart right guard for 5 yards (tackle by William Hayes),4.000,4.050
1,3:49,3,5,LAR 9,6,0,"Cam Newton pass complete short middle to Greg Olsen for 9 yards, touchdown",4.050,7.000
1,3:44,,,LAR 15,7,0,Graham Gano kicks extra point good,0.000,0.000
1,3:44,,,CAR 35,7,0,--,0.000,0.380
1,3:36,1,10,LAR 9,7,0,Todd Gurley left guard for 5 yards (tackle by Kony Ealy),-0.380,-0.390
1,3:02,2,5,LAR 14,7,0,Case Keenum pass incomplete short right intended for Tyler Higbee,-0.390,-0.840
1,2:56,3,5,LAR 14,7,0,Case Keenum sacked by Mario Addison for -2 yards,-0.840,-2.490
1,2:22,4,7,LAR 12,7,0,Johnny Hekker punts 75 yards,-2.490,0.320
1,2:07,1,10,CAR 13,7,0,Jonathan Stewart middle for -2 yards (tackle by William Hayes),-0.320,-0.930
1,1:30,2,12,CAR 11,7,0,Jonathan Stewart left tackle for no gain (tackle by Alec Ogletree),-0.930,-1.650
1,0:45,3,12,CAR 11,7,0,"Cam Newton pass incomplete deep right intended for Devin Funchess (defended by Lamarcus Joyner). Penalty on Lamarcus Joyner: Defensive Pass Interference, 29 yards (no play)",-1.650,1.600
1,0:37,1,10,CAR 40,7,0,Cam Newton pass incomplete short right intended for Kelvin Benjamin,1.600,1.050
1,0:33,2,10,CAR 40,7,0,Jonathan Stewart right guard for -2 yards (tackle by Aaron Donald),1.050,0.100
Quarter,Time,Down,ToGo,Location,CAR,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,12,CAR 38,7,0,Cam Newton pass incomplete short left intended for Ted Ginn,0.100,-0.850
2,14:54,4,12,CAR 38,7,0,"Andy Lee punts 58 yards, returned by Tavon Austin for 14 yards (tackle by Jeremy Cash)",-0.850,-0.040
2,14:42,1,10,LAR 18,7,0,Case Keenum pass complete deep left to Tyler Higbee for 31 yards (tackle by A.J. Klein),0.040,2.190
2,13:59,1,10,LAR 49,7,0,Todd Gurley right end for 3 yards (tackle by Michael Griffin),2.190,2.050
2,13:20,2,7,CAR 48,7,0,Case Keenum pass incomplete short right intended for Lance Kendricks,2.050,1.360
2,13:14,3,7,CAR 48,7,0,Case Keenum pass incomplete deep right intended for Brian Quick,1.360,0.070
2,13:01,4,7,CAR 48,7,0,"Johnny Hekker punts 37 yards, fair catch by Ted Ginn. Penalty on Charles Johnson: Offensive Holding, 5 yards",0.070,0.380
2,12:54,1,10,CAR 6,7,0,Jonathan Stewart middle for no gain (tackle by Mark Barron),-0.380,-0.780
2,12:11,2,10,CAR 6,7,0,Jonathan Stewart right guard for 5 yards (tackle by Alec Ogletree),-0.780,-0.840
2,11:24,3,5,CAR 11,7,0,Cam Newton pass incomplete short right intended for Ted Ginn,-0.840,-2.490
2,11:19,4,5,CAR 11,7,0,"Andy Lee punts 48 yards, returned by Tavon Austin for 5 yards (tackle by Michael Griffin)",-2.490,-1.990
2,11:06,1,10,LAR 46,7,0,Case Keenum pass complete short left to Benny Cunningham for 6 yards (tackle by Thomas Davis),1.990,2.260
2,10:23,2,4,CAR 48,7,0,Benny Cunningham left end for 3 yards (tackle by Luke Kuechly),2.260,1.950
