Unnamed: 0,KAN,NWE
First Downs,14,18
Rush-Yds-TDs,27-102-0,28-126-1
Cmp-Att-Yd-TD-INT,19-31-206-1-1,20-29-228-1-0
Sacked-Yards,4-24,2-16
Net Pass Yards,182,212
Total Yards,284,338
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,2-15,3-30
Third Down Conv.,8-16,7-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:11,29:49
