Quarter,Time,Tm,Detail,SEA,PHI
1.0,6:50,Seahawks,Bobby Engram 11 yard pass from Matt Hasselbeck (Josh Brown kick),7,0
,3:24,Seahawks,Andre Dyson 72 yard interception return (Josh Brown kick),14,0
2.0,11:31,Seahawks,Lofa Tatupu 38 yard interception return (Josh Brown kick),21,0
,4:34,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),28,0
,0:29,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),35,0
3.0,14:45,Seahawks,Andre Dyson 25 yard defensive fumble return (Josh Brown kick),42,0
