Unnamed: 0,SEA,PHI
First Downs,14,11
Rush-Yds-TDs,42-96-2,25-61-0
Cmp-Att-Yd-TD-INT,8-17-98-1-0,17-39-145-0-4
Sacked-Yards,0-0,4-16
Net Pass Yards,98,129
Total Yards,194,190
Fumbles-Lost,1-0,2-2
Turnovers,0,6
Penalties-Yards,2-10,10-56
Third Down Conv.,4-14,4-15
Fourth Down Conv.,0-0,1-2
Time of Possession,30:40,29:20
