Quarter,Time,Tm,Detail,MIA,CIN
1.0,10:35,Bengals,Mike Nugent 42 yard field goal,0,3
,0:13,Bengals,Mike Nugent 24 yard field goal,0,6
2.0,6:54,Dolphins,Daniel Thomas 1 yard rush (Dan Carpenter kick),7,6
3.0,12:18,Dolphins,Reggie Bush 13 yard rush (Dan Carpenter kick),14,6
,8:35,Dolphins,Dan Carpenter 46 yard field goal,17,6
4.0,14:15,Bengals,A.J. Green 2 yard pass from Andy Dalton (Mike Nugent kick),17,13
