Unnamed: 0,MIA,CIN
First Downs,15,18
Rush-Yds-TDs,35-68-2,19-80-0
Cmp-Att-Yd-TD-INT,17-26-223-0-0,26-43-234-1-2
Sacked-Yards,2-12,3-16
Net Pass Yards,211,218
Total Yards,279,298
Fumbles-Lost,2-2,2-1
Turnovers,2,3
Penalties-Yards,2-10,5-46
Third Down Conv.,4-13,2-14
Fourth Down Conv.,0-1,1-1
Time of Possession,28:49,31:11
