Unnamed: 0,KAN,DEN
First Downs,28,18
Rush-Yds-TDs,29-135-0,28-191-3
Cmp-Att-Yd-TD-INT,27-44-270-2-0,13-25-178-0-0
Sacked-Yards,1-15,1-5
Net Pass Yards,255,173
Total Yards,390,364
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-45,6-45
Third Down Conv.,8-14,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,33:04,26:56
