Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
2,4:04,,,LAC 35,3,10,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
2,4:04,1,10,OAK 25,3,10,"Derek Carr pass complete short middle to Martavis Bryant for 21 yards (tackle by Jatavis Brown). Martavis Bryant fumbles (forced by Jatavis Brown), recovered by Jahleel Addae at OAK-48 (tackle by Martavis Bryant). Penalty on Martavis Bryant: Offensive Pass Interference (Declined)",0.610,-2.390
2,3:54,1,10,OAK 48,3,10,"Mike Williams left end for 3 yards (tackle by Marcus Gilchrist). Penalty on Tyrell Williams: Illegal Block Above the Waist, 10 yards",2.390,1.930
2,3:24,1,17,LAC 45,3,10,Philip Rivers pass complete short middle to Keenan Allen for 11 yards (tackle by Reggie Nelson),1.930,2.390
2,2:48,2,6,OAK 44,3,10,Philip Rivers pass complete short right to Melvin Gordon for 34 yards (tackle by Maurice Hurst),2.390,4.910
2,2:00,1,10,OAK 10,3,10,Melvin Gordon left end for 9 yards (tackle by Marcus Gilchrist),4.910,5.910
2,1:48,,,,,,Timeout #2 by Oakland Raiders,,
2,1:48,2,1,OAK 1,3,10,Melvin Ingram up the middle for no gain (tackle by Arden Key),5.910,5.170
2,1:42,,,,,,Timeout #3 by Oakland Raiders,,
2,1:42,3,1,OAK 1,3,16,"Melvin Gordon right guard for 1 yard, touchdown",5.170,7.000
2,1:39,,,OAK 15,3,17,Caleb Sturgis kicks extra point good,0.000,0.000
2,1:39,,,LAC 35,3,17,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
2,1:39,1,10,OAK 25,3,17,Derek Carr pass complete deep left to Seth Roberts for 20 yards (tackle by Jahleel Addae),0.610,1.930
2,1:31,1,10,OAK 45,3,17,Derek Carr pass complete short left to Jalen Richard for -2 yards (tackle by Derwin James and Corey Liuget),1.930,1.110
2,1:05,2,12,OAK 43,3,17,Derek Carr pass complete short middle to Jalen Richard for 4 yards (tackle by Denzel Perryman),1.110,0.960
2,0:44,3,8,OAK 47,3,17,Derek Carr pass complete short right to Jared Cook for 8 yards (tackle by Adrian Phillips),0.960,2.590
2,0:26,1,10,LAC 45,3,17,Derek Carr spiked the ball,2.590,2.040
2,0:25,2,10,LAC 45,3,17,Derek Carr pass complete short middle to Seth Roberts for 6 yards (tackle by Denzel Perryman),2.040,2.150
2,0:13,3,4,LAC 39,3,17,Derek Carr spiked the ball,2.150,0.660
2,0:11,4,4,LAC 39,3,17,Matthew McCrane 57 yard field goal no good,0.660,-2.060
2,0:06,1,10,LAC 47,3,17,Philip Rivers pass complete short middle to Tyrell Williams for 8 yards,2.060,2.600
2,0:01,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:01,2,2,OAK 45,3,17,"Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Tahir Whitehead). Penalty on Bruce Irvin: Roughing the Passer, 15 yards (no play)",2.600,3.580
2,0:00,1,10,OAK 30,3,17,Caleb Sturgis 48 yard field goal no good,3.580,1.400
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,3,17,"Caleb Sturgis kicks off 60 yards, returned by Dwayne Harris for no gain (tackle by Austin Ekeler)",0.000,0.740
3,14:56,1,10,OAK 27,3,17,Marshawn Lynch up the middle for no gain (tackle by Denzel Perryman and Melvin Ingram),0.740,0.200
3,14:15,2,10,OAK 27,3,17,Derek Carr pass incomplete short middle intended for Doug Martin (defended by Adrian Phillips),0.200,-0.490
3,14:10,3,10,OAK 27,3,17,Derek Carr sacked by Darius Philon for -7 yards,-0.490,-2.030
3,13:34,4,17,OAK 20,3,17,"Johnny Townsend punts 50 yards, returned by Desmond King for 6 yards (tackle by Derek Carrier). Penalty on Nick Dzubnar: Illegal Block Above the Waist, 10 yards",-2.030,-0.670
3,13:17,1,10,LAC 26,3,17,Melvin Gordon left end for 4 yards (tackle by Daryl Worley and Tahir Whitehead),0.670,0.670
3,12:33,2,6,LAC 30,3,17,Philip Rivers pass complete short right to Mike Williams for 16 yards (tackle by Reggie Nelson),0.670,1.990
3,12:06,1,10,LAC 46,3,17,Melvin Gordon up the middle for 1 yard (tackle by Frostee Rucker),1.990,1.590
3,11:20,2,9,LAC 47,3,17,Philip Rivers pass complete short middle to Keenan Allen for 17 yards (tackle by Erik Harris),1.590,3.180
3,10:37,1,10,OAK 36,3,17,Melvin Gordon up the middle for -1 yards (tackle by P.J. Hall),3.180,2.500
3,9:56,2,11,OAK 37,3,17,Philip Rivers pass incomplete short left intended for Austin Ekeler (defended by Maurice Hurst),2.500,1.820
3,9:51,3,11,OAK 37,3,17,Philip Rivers pass complete short right to Antonio Gates for 16 yards (tackle by Erik Harris and Marcus Gilchrist),1.820,4.170
3,9:04,1,10,OAK 21,3,17,"Melvin Gordon left end for no gain (tackle by Tahir Whitehead). Penalty on Antonio Gates: Offensive Holding, 10 yards (no play)",4.170,3.510
3,8:35,1,20,OAK 31,3,17,Philip Rivers pass complete short right to Melvin Gordon for 9 yards (tackle by Rashaan Melvin),3.510,3.490
3,7:53,2,11,OAK 22,3,17,Melvin Gordon left tackle for 2 yards (tackle by Marcus Gilchrist and Tahir Whitehead),3.490,3.070
3,7:08,3,9,OAK 20,3,17,"Penalty on P.J. Hall: Neutral Zone Infraction, 5 yards (no play)",3.070,3.810
3,6:48,3,4,OAK 15,3,17,Philip Rivers pass complete short right to Mike Williams for 3 yards (tackle by Daryl Worley),3.810,2.780
3,6:09,4,1,OAK 12,3,20,Caleb Sturgis 30 yard field goal good,2.780,3.000
3,6:05,,,LAC 35,3,20,"Caleb Sturgis kicks off 65 yards, touchback.",0.000,0.610
3,6:05,1,10,OAK 25,3,20,Derek Carr pass complete short left to Marshawn Lynch for 7 yards (tackle by Trevor Williams and Adrian Phillips),0.610,1.010
3,5:29,2,3,OAK 32,3,20,Marshawn Lynch left tackle for no gain (tackle by Adrian Phillips),1.010,0.300
3,4:51,3,3,OAK 32,3,20,Derek Carr pass complete short left to Jordy Nelson for 8 yards (tackle by Trevor Williams),0.300,1.600
3,4:17,1,10,OAK 40,3,20,Derek Carr pass incomplete short middle intended for Seth Roberts,1.600,1.050
3,4:13,2,10,OAK 40,3,20,Derek Carr pass complete short left to Seth Roberts for 8 yards (tackle by Desmond King),1.050,1.420
3,3:45,3,2,OAK 48,3,20,"Penalty on Brandon Parker: False Start, 5 yards (no play)",1.420,0.760
3,3:30,3,7,OAK 43,3,20,Derek Carr pass complete short right to Jalen Richard for 32 yards (tackle by Denzel Perryman and Trevor Williams),0.760,3.910
3,2:43,1,10,LAC 25,3,20,Marshawn Lynch right guard for 2 yards (tackle by Adrian Phillips),3.910,3.630
3,2:05,2,8,LAC 23,3,20,Derek Carr left end for 5 yards (tackle by Adrian Phillips),3.630,3.660
3,1:19,3,3,LAC 18,3,20,"Derek Carr pass incomplete deep left intended for Jared Cook. Penalty on Derwin James: Defensive Pass Interference, 17 yards (no play)",3.660,6.970
3,1:13,1,1,LAC 1,3,20,Derek Carr pass short middle intended for Derek Carrier is intercepted by Melvin Ingram at LAC-0 and returned for 8 yards,6.970,0.380
3,1:05,1,10,LAC 4,3,20,Philip Rivers pass complete deep left to Tyrell Williams for 48 yards (tackle by Gareon Conley),-0.380,2.390
3,0:20,1,10,OAK 48,3,20,"Melvin Gordon left tackle for no gain (tackle by Reggie Nelson and Frostee Rucker). Penalty on Sam Tevi: Offensive Holding, 10 yards (no play)",2.390,1.730
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,LAC 42,3,20,Philip Rivers pass complete short left to Keenan Allen for 12 yards (tackle by Frostee Rucker),1.730,2.120
4,14:18,2,8,OAK 46,3,20,"Philip Rivers pass complete short left to Melvin Gordon for -3 yards (tackle by Tahir Whitehead and Maurice Hurst). Penalty on Trenton Scott: Offensive Holding, 10 yards (no play)",2.120,0.770
4,13:49,2,18,LAC 44,3,20,Philip Rivers pass complete deep middle to Mike Williams for 26 yards (tackle by Tahir Whitehead),0.770,3.580
4,13:05,1,10,OAK 30,3,20,Melvin Gordon right tackle for 4 yards (tackle by Fadol Brown),3.580,3.570
4,12:28,2,6,OAK 26,3,20,Melvin Gordon left end for no gain (tackle by Clinton McDonald),3.570,2.870
4,11:44,3,6,OAK 26,3,20,"Penalty on Tyrell Williams: False Start, 5 yards (no play)",2.870,2.210
4,11:16,3,11,OAK 31,3,20,Philip Rivers pass complete short left to Keenan Allen for 12 yards (tackle by Daryl Worley),2.210,4.310
4,10:33,1,10,OAK 19,3,20,Melvin Gordon left end for 6 yards (tackle by Reggie Nelson),4.310,4.720
4,9:51,2,4,OAK 13,3,26,"Philip Rivers pass complete short left to Virgil Green for 13 yards, touchdown",4.720,7.000
4,9:42,,,OAK 15,3,26,Caleb Sturgis kicks extra point no good hit left upright,0.000,-1.000
4,9:42,,,LAC 35,3,26,"Caleb Sturgis kicks off 61 yards, returned by Dwayne Harris for no gain (tackle by Uchenna Nwosu and Isaac Rochell)",0.000,0.670
4,9:36,1,10,OAK 26,3,26,Derek Carr pass complete deep left to Martavis Bryant for 47 yards (tackle by Jahleel Addae),0.670,3.780
4,8:52,1,10,LAC 27,3,26,Derek Carr pass complete short left to Jalen Richard for 3 yards (tackle by Adrian Phillips and Michael Davis),3.780,3.640
4,8:20,2,7,LAC 24,3,26,Derek Carr sacked by Isaac Rochell for -6 yards,3.640,2.150
4,7:39,3,13,LAC 30,3,26,Derek Carr pass complete short left to Jalen Richard for 9 yards (tackle by Jahleel Addae),2.150,2.130
4,7:09,,,,,,Timeout #1 by Los Angeles Chargers,,
4,7:09,4,4,LAC 21,3,26,Derek Carr pass complete short middle to Seth Roberts for 7 yards (tackle by Jahleel Addae),2.130,4.650
4,6:33,1,10,LAC 14,3,26,Derek Carr pass complete short left to Jared Cook for 9 yards (tackle by Derwin James),4.650,5.670
4,5:53,2,1,LAC 5,3,26,Derek Carr pass incomplete short right intended for Seth Roberts,5.670,4.960
4,5:46,3,1,LAC 5,3,26,Jalen Richard left tackle for 4 yards (tackle by Justin Jones),4.960,6.970
4,5:13,1,1,LAC 1,9,26,"Derek Carr pass complete short right to Jordy Nelson for 1 yard, touchdown",6.970,7.000
4,5:11,,,LAC 15,10,26,Matthew McCrane kicks extra point good,0.000,0.000
4,5:11,,,OAK 35,10,26,"Matthew McCrane kicks onside 13 yards, returned by Keenan Allen for no gain",0.000,-2.390
4,5:10,1,10,OAK 48,10,26,Philip Rivers pass complete short left to Keenan Allen for 3 yards (tackle by Daryl Worley),2.390,2.250
4,4:25,2,7,OAK 45,10,26,Austin Ekeler right end for 1 yard (tackle by Tahir Whitehead),2.250,1.690
4,4:19,,,,,,Timeout #1 by Oakland Raiders,,
4,4:19,3,6,OAK 44,10,26,Philip Rivers pass complete short right to Tyrell Williams for 10 yards (tackle by Leon Hall),1.690,3.310
4,3:31,1,10,OAK 34,10,26,Austin Ekeler left end for 1 yard (tackle by Marquel Lee),3.310,2.910
4,3:25,,,,,,Timeout #2 by Oakland Raiders,,
4,3:25,2,9,OAK 33,10,26,"Austin Ekeler left end for -3 yards (tackle by Daryl Worley). Penalty on Marquel Lee: Unnecessary Roughness, 15 yards",2.910,4.170
4,3:21,1,10,OAK 21,10,26,Austin Ekeler up the middle for 2 yards (tackle by Fadol Brown and Marquel Lee),4.170,3.900
4,2:34,2,8,OAK 19,10,26,Austin Ekeler left tackle for 2 yards (tackle by Johnathan Hankins and Clinton McDonald),3.900,3.460
4,2:29,,,,,,Timeout #3 by Oakland Raiders,,
4,2:29,3,6,OAK 17,10,26,Austin Ekeler up the middle for 12 yards (tackle by Daryl Worley),3.460,6.060
4,2:00,1,5,OAK 5,10,26,Philip Rivers kneels for -1 yards,6.060,4.950
4,1:19,2,6,OAK 6,10,26,Philip Rivers kneels for no gain,4.950,4.040
4,0:39,3,6,OAK 6,10,26,Philip Rivers kneels for -1 yards,4.040,2.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
