Unnamed: 0,OAK,LAC
First Downs,14,19
Rush-Yds-TDs,13-41-0,31-79-1
Cmp-Att-Yd-TD-INT,24-33-268-1-1,22-27-339-2-0
Sacked-Yards,3-20,1-6
Net Pass Yards,248,333
Total Yards,289,412
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,7-55,9-82
Third Down Conv.,4-11,7-13
Fourth Down Conv.,1-1,0-0
Time of Possession,25:20,34:40
