Quarter,Time,Tm,Detail,DET,TAM
1.0,8:09,Lions,Riley Patterson 30 yard field goal,3,0
2.0,7:34,Buccaneers,Chase McLaughlin 33 yard field goal,3,3
,2:39,Lions,Amon-Ra St. Brown 27 yard pass from Jared Goff (Riley Patterson kick),10,3
3.0,7:44,Buccaneers,Chase McLaughlin 36 yard field goal,10,6
,3:19,Lions,Jameson Williams 45 yard pass from Jared Goff (Riley Patterson kick),17,6
4.0,12:00,Lions,Riley Patterson 36 yard field goal,20,6
