Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Rachaad White left tackle for 2 yards (tackle by Jerry Jacobs and Jack Campbell),0.610,0.330
1,14:22,2,8,TAM 27,0,0,Baker Mayfield pass complete deep left to Chris Godwin for 16 yards (tackle by Kerby Joseph),0.330,1.800
1,13:41,1,10,TAM 43,0,0,Rachaad White up the middle for 1 yard (tackle by Benito Jones),1.800,1.390
1,13:15,2,9,TAM 44,0,0,Baker Mayfield pass incomplete short right intended for Trey Palmer,1.390,0.690
1,13:12,3,9,TAM 44,0,0,Baker Mayfield pass incomplete short left intended for Rachaad White (defended by Alex Anzalone),0.690,-0.460
1,13:08,4,9,TAM 44,0,0,"Jake Camarda punts 53 yards, returned by Kalif Raymond for 7 yards (tackle by Josh Hayes)",-0.460,0.380
1,12:57,1,10,DET 10,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Antoine Winfield),-0.380,0.340
1,12:22,1,10,DET 21,0,0,David Montgomery right guard for 6 yards (tackle by Ryan Neal and Calijah Kancey),0.340,0.610
1,11:43,2,4,DET 27,0,0,Jared Goff pass complete short right to Sam LaPorta for 19 yards (tackle by Lavonte David),0.610,1.990
1,11:11,1,10,DET 46,0,0,Jared Goff pass incomplete short left,1.990,1.450
1,11:05,2,10,DET 46,0,0,Kalif Raymond up the middle for 3 yards (tackle by Lavonte David),1.450,1.160
1,10:23,3,7,DET 49,0,0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.160,-0.130
1,10:19,4,7,DET 49,0,0,"Jack Fox punts 43 yards, fair catch by Deven Thompkins at TB-8",-0.130,0.380
1,10:12,1,10,TAM 8,0,0,Baker Mayfield pass short left (defended by Isaiah Buggs) intended for Mike Evans is intercepted by Will Harris at TB-12 and returned for no gain (tackle by Deven Thompkins),-0.380,-4.780
1,10:08,1,10,TAM 12,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Carlton Davis),4.780,4.640
1,9:31,2,7,TAM 9,0,0,David Montgomery right end for -1 yards (tackle by Joe Tryon-Shoyinka and YaYa Diaby),4.640,3.480
1,8:50,3,8,TAM 10,0,0,"David Montgomery right tackle for -2 yards. David Montgomery fumbles (forced by Vita Vea), recovered by David Montgomery at TB-12 (tackle by Vita Vea)",3.480,2.630
1,8:13,4,10,TAM 12,3,0,Riley Patterson 30 yard field goal good,2.630,3.000
1,8:09,,,DET 35,3,0,"Riley Patterson kicks off 65 yards, returned by Deven Thompkins for 16 yards (tackle by Derrick Barnes). Penalty on Kaevon Merriweather: Defensive Holding, 8 yards (accepted)",0.000,-0.380
1,8:03,1,10,TAM 8,3,0,Rachaad White up the middle for 6 yards (tackle by Jack Campbell),-0.380,-0.320
1,7:26,2,4,TAM 14,3,0,Baker Mayfield pass complete short right to Payne Durham for 8 yards (tackle by Jack Campbell and Isaiah Buggs),-0.320,0.410
1,6:46,1,10,TAM 22,3,0,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Kerby Joseph),0.410,-0.130
1,6:39,2,10,TAM 22,3,0,Baker Mayfield pass complete short left to Deven Thompkins for -2 yards (tackle by Jerry Jacobs),-0.130,-1.090
1,6:00,3,12,TAM 20,3,0,Baker Mayfield scrambles left end for 3 yards (tackle by Aidan Hutchinson),-1.090,-1.830
1,5:21,4,9,TAM 23,3,0,"Jake Camarda punts 42 yards, fair catch by Kalif Raymond at DET-35. Penalty on Ifeatu Melifonwu: Defensive Holding, 10 yards (accepted)",-1.830,-0.610
1,5:18,1,10,DET 25,3,0,David Montgomery left end for 4 yards (tackle by Cam Gill),0.610,0.600
1,4:38,2,6,DET 29,3,0,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Jamel Dean and Cam Gill),0.600,-0.100
1,3:57,3,6,DET 29,3,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Ryan Neal),-0.100,1.660
1,3:14,1,10,DET 41,3,0,Jared Goff pass complete short middle to Kalif Raymond for 5 yards (tackle by Devin White and Lavonte David),1.660,1.800
1,2:32,2,5,DET 46,3,0,David Montgomery up the middle for 4 yards (tackle by Vita Vea and Shaquil Barrett),1.800,1.620
1,1:48,3,1,DET 50,3,0,Jared Goff pass incomplete short right intended for Sam LaPorta (defended by Lavonte David),1.620,-0.060
1,1:43,4,1,DET 50,3,0,"Jack Fox punts 50 yards, touchback.",-0.060,-0.280
1,1:35,1,10,TAM 20,3,0,Baker Mayfield scrambles right end for 3 yards (tackle by Alex Anzalone),0.280,0.140
1,1:02,2,7,TAM 23,3,0,Ke'Shawn Vaughn up the middle for 1 yard (tackle by Alex Anzalone),0.140,-0.430
1,0:21,3,6,TAM 24,3,0,Baker Mayfield pass complete short right to Chris Godwin for 10 yards (tackle by Tracy Walker),-0.430,1.200
Quarter,Time,Down,ToGo,Location,DET,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 34,3,0,Ke'Shawn Vaughn up the middle for 4 yards (tackle by Benito Jones),1.200,1.200
2,14:27,2,6,TAM 38,3,0,Ke'Shawn Vaughn up the middle for -6 yards (tackle by Alex Anzalone and Will Harris),1.200,-0.300
2,13:38,3,12,TAM 32,3,0,Baker Mayfield pass incomplete deep right intended for Mike Evans,-0.300,-1.240
2,13:32,4,12,TAM 32,3,0,Jake Camarda punts 63 yards out of bounds,-1.240,0.380
2,13:25,1,10,DET 5,3,0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,-0.380,-0.780
2,13:21,2,10,DET 5,3,0,David Montgomery right guard for 3 yards (tackle by YaYa Diaby and Vita Vea),-0.780,-1.070
