Unnamed: 0,DET,TAM
First Downs,19,13
Rush-Yds-TDs,22-40-0,16-46-0
Cmp-Att-Yd-TD-INT,30-44-353-2-0,19-37-206-0-1
Sacked-Yards,3-13,1-1
Net Pass Yards,340,205
Total Yards,380,251
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,5-35,5-33
Third Down Conv.,9-16,2-12
Fourth Down Conv.,0-0,1-2
Time of Possession,36:30,23:30
