Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Martin Gramatica kicks off 61 yards, returned by Arlen Harris for 20 yards (tackle by John Howell)",0.000,0.870
1,14:56,1,10,STL 29,0,0,Marc Bulger pass complete to Marshall Faulk for 9 yards (tackle by Ronde Barber),0.870,1.540
1,14:13,2,1,STL 38,0,0,Steven Jackson left guard for 9 yards (tackle by Jeff Gooch),1.540,2.060
1,13:32,1,10,STL 47,0,0,Marshall Faulk left tackle for 1 yard (tackle by Jeff Gooch),2.060,1.650
1,12:51,2,9,STL 48,0,0,Marc Bulger pass incomplete intended for Isaac Bruce,1.650,0.960
1,12:48,3,9,STL 48,0,6,"Marc Bulger pass complete to Torry Holt for 52 yards, touchdown",0.960,7.000
1,,,,TAM 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Jeff Wilkins kicks off 72 yards, returned by Torrie Cox for 59 yards (tackle by Jeff Wilkins)",0.000,2.720
1,12:31,1,10,STL 43,0,7,Brian Griese pass complete to Michael Clayton for 19 yards (tackle by Brandon Chillar),2.720,3.970
1,11:51,1,10,STL 24,0,7,Brian Griese pass complete to Michael Clayton for 9 yards (tackle by Jerametrius Butler),3.970,4.850
1,11:16,2,1,STL 15,0,7,Mike Alstott up the middle for 5 yards (tackle by Bryce Fisher),4.850,4.910
1,10:36,1,10,STL 10,0,7,Michael Pittman right guard for 1 yard (tackle by Bryce Fisher),4.910,4.380
1,9:58,2,9,STL 9,0,7,Brian Griese pass complete to Will Heller for 8 yards (tackle by Jerametrius Butler),4.380,5.170
1,9:18,3,1,STL 1,6,7,"Mike Alstott left tackle for 1 yard, touchdown",5.170,7.000
1,,,,STL 2,7,7,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,TAM 30,7,7,"Martin Gramatica kicks off 67 yards, returned by Arlen Harris for 23 yards (tackle by Ryan Nece)",0.000,0.670
1,9:09,1,10,STL 26,7,7,Marc Bulger pass complete to Torry Holt for 1 yard (tackle by Brian Kelly),0.670,0.270
1,8:28,2,9,STL 27,7,7,Marc Bulger pass complete to Torry Holt for 23 yards (tackle by Ronde Barber),0.270,2.260
1,7:52,1,10,STL 50,7,7,Marc Bulger pass incomplete intended for Joey Goodspeed (defended by Mario Edwards),2.260,1.710
1,7:47,2,10,STL 50,7,7,Steven Jackson up the middle for 3 yards (tackle by Jermaine Phillips),1.710,1.420
1,7:04,3,7,TAM 47,7,7,Marc Bulger sacked by Anthony McFarland for -12 yards,1.420,-0.650
1,6:38,4,19,STL 41,7,7,"Sean Landeta punts 59 yards, touchback",-0.650,-0.280
1,6:26,1,10,TAM 20,7,7,Brian Griese pass complete to Mike Alstott for 5 yards (tackle by Jerametrius Butler),0.280,0.410
1,5:52,2,5,TAM 25,7,7,Michael Pittman up the middle for 1 yard (tackle by Anthony Hargrove),0.410,-0.160
1,5:11,3,4,TAM 26,7,7,Michael Pittman up the middle for -2 yards (tackle by Pisa Tinoisamoa and Aeneas Williams),-0.160,-1.770
1,4:35,4,6,TAM 24,7,7,"Josh Bidwell punts 58 yards, returned by Shaun McDonald for 82 yards. Penalty on Dwight Anderson: Illegal Block Above the Waist, 10 yards",-1.770,0.370
1,4:12,1,10,STL 11,7,7,"Penalty on Joey Goodspeed: False Start, 5 yards (no play)",-0.370,-0.570
1,4:12,1,15,STL 6,7,7,Marshall Faulk up the middle for 3 yards (tackle by Jeff Gooch and Chartric Darby),-0.570,-0.930
1,3:33,2,12,STL 9,7,7,Marc Bulger pass incomplete intended for Torry Holt,-0.930,-1.650
1,3:24,3,12,STL 9,7,7,Marc Bulger pass complete to Shaun McDonald for 12 yards (tackle by Derrick Brooks),-1.650,0.340
1,2:49,1,10,STL 21,7,7,Marshall Faulk left tackle for 3 yards (tackle by Derrick Brooks),0.340,0.210
1,2:04,2,7,STL 24,7,7,Marc Bulger pass incomplete intended for Marshall Faulk,0.210,-0.490
1,1:58,3,7,STL 24,7,7,Marc Bulger pass incomplete intended for Torry Holt,-0.490,-1.770
1,1:53,4,7,STL 24,7,7,"Sean Landeta punts 56 yards, returned by Tim Brown for 14 yards (tackle by Mike Furrey)",-1.770,-1.200
1,1:42,1,10,TAM 34,7,7,Brian Griese pass complete to Michael Clayton for 11 yards (tackle by Pisa Tinoisamoa),1.200,1.930
1,1:08,1,10,TAM 45,7,7,Brian Griese right end for 4 yards (tackle by DeJuan Groce),1.930,1.920
1,0:34,2,6,TAM 49,7,7,Michael Pittman left end for 1 yard (tackle by Tommy Polley and Damione Lewis),1.920,1.360
Quarter,Time,Down,ToGo,Location,TAM,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,STL 50,7,7,Brian Griese pass complete to Michael Clayton for 44 yards (tackle by Kwamie Lassiter),1.360,5.830
2,14:13,1,6,STL 6,7,7,Michael Pittman right guard for 2 yards (tackle by Pisa Tinoisamoa),5.830,5.340
2,13:38,2,4,STL 4,7,7,Brian Griese sacked by Tommy Polley for -1 yards,5.340,4.260
2,13:10,3,5,STL 5,13,7,"Brian Griese pass complete to Michael Pittman for 5 yards, touchdown",4.260,7.000
2,,,,STL 2,14,7,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,TAM 30,14,7,"Martin Gramatica kicks off 64 yards, returned by Arlen Harris for 21 yards (tackle by Corey Ivy)",0.000,0.740
2,12:56,1,10,STL 27,14,7,"Penalty on Scott Tercero: False Start, 5 yards (no play)",0.740,0.410
2,12:56,1,15,STL 22,14,7,Marc Bulger pass incomplete intended for Torry Holt (defended by Ronde Barber),0.410,-0.480
2,12:50,2,15,STL 22,14,7,Marc Bulger pass incomplete intended for Isaac Bruce,-0.480,-1.150
2,12:44,,,,14,7,Timeout #1 by St. Louis Rams,0.000,-1.150
2,12:44,3,15,STL 22,14,7,Marc Bulger sacked by Greg Spires for -9 yards,-1.150,-2.490
2,12:19,4,24,STL 13,14,7,"Sean Landeta punts 36 yards, fair catch by Tim Brown",-2.490,-2.320
2,12:11,1,10,STL 49,14,7,Brian Griese pass complete to Will Heller for 12 yards (tackle by Tommy Polley),2.320,3.120
2,11:31,1,10,STL 37,14,7,Michael Pittman up the middle for 3 yards (tackle by Tommy Polley),3.120,2.980
2,10:50,2,7,STL 34,14,7,Brian Griese pass complete to Charles Lee for 14 yards (tackle by Jerametrius Butler),2.980,4.240
2,10:16,1,10,STL 20,14,7,Michael Pittman right guard for 3 yards (tackle by Anthony Hargrove),4.240,4.120
2,9:40,2,7,STL 17,14,7,Brian Griese pass incomplete intended for Michael Clayton (defended by DeJuan Groce),4.120,3.360
2,9:34,3,7,STL 17,14,7,Brian Griese pass incomplete intended for Charles Lee,3.360,2.310
2,9:28,4,7,STL 17,14,7,Martin Gramatica 35 yard field goal no good,2.310,-0.610
2,9:24,1,10,STL 25,14,7,Steven Jackson right tackle for 9 yards (tackle by Dwight Smith),0.610,1.280
2,8:42,2,1,STL 34,14,7,"Steven Jackson up the middle for 1 yard (tackle by Derrick Brooks). Penalty on Brandon Manumaleuna: Offensive Holding, 10 yards",1.280,0.060
2,8:13,2,10,STL 25,14,7,Steven Jackson left end for 5 yards (tackle by Anthony McFarland),0.060,0.040
2,7:28,3,5,STL 30,14,7,Marc Bulger pass complete to Shaun McDonald for 10 yards (tackle by Derrick Brooks),0.040,1.600
2,6:42,1,10,STL 40,14,7,Marshall Faulk up the middle for 3 yards (tackle by Derrick Brooks),1.600,1.460
