Unnamed: 0,TAM,STL
First Downs,17,14
Rush-Yds-TDs,22-55-1,30-94-1
Cmp-Att-Yd-TD-INT,27-40-286-2-1,18-30-264-2-1
Sacked-Yards,2-9,4-34
Net Pass Yards,277,230
Total Yards,332,324
Fumbles-Lost,3-3,1-1
Turnovers,4,2
Penalties-Yards,3-12,7-50
Third Down Conv.,6-15,8-16
Fourth Down Conv.,1-1,1-1
Time of Possession,27:52,32:08
