Quarter,Time,Tm,Detail,WAS,NYG
1.0,2:59,Redskins,John Hall 39 yard field goal,3,0
2.0,14:15,Giants,Jay Feely 24 yard field goal,3,3
,9:50,Giants,Jay Feely 34 yard field goal,3,6
,0:02,Giants,Jay Feely 32 yard field goal,3,9
3.0,6:55,Giants,Plaxico Burress 2 yard pass from Eli Manning (Jay Feely kick),3,16
4.0,2:50,Giants,Jay Feely 40 yard field goal,3,19
