Unnamed: 0,WAS,NYG
First Downs,10,20
Rush-Yds-TDs,20-78-0,36-155-0
Cmp-Att-Yd-TD-INT,12-22-109-0-0,23-33-256-1-0
Sacked-Yards,3-23,0-0
Net Pass Yards,86,256
Total Yards,164,411
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-35,8-76
Third Down Conv.,3-11,9-16
Fourth Down Conv.,0-1,0-0
Time of Possession,25:13,34:47
