Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Jay Feely kicks off 72 yards, touchback",0.000,0.280
1,15:00,1,10,WAS 20,0,0,Clinton Portis right guard for 2 yards (tackle by Brandon Short and Michael Strahan),0.280,0.000
1,14:25,2,8,WAS 22,0,0,Clinton Portis left tackle for 2 yards (tackle by Brandon Short),0.000,-0.430
1,13:45,3,6,WAS 24,0,0,Mark Brunell pass complete short right to Chris Cooley for 16 yards (tackle by Gibril Wilson),-0.430,1.600
1,13:03,1,10,WAS 40,0,0,Ladell Betts middle for 2 yards (tackle by Osi Umenyiora),1.600,1.320
1,12:20,2,8,WAS 42,0,0,Mark Brunell pass incomplete deep left intended for James Thrash,1.320,0.630
1,12:09,3,8,WAS 42,0,0,Mark Brunell pass complete short right to Antwaan Randle El for -3 yards (tackle by Gibril Wilson and Antonio Pierce),0.630,-0.780
1,11:31,4,11,WAS 39,0,0,"Derrick Frost punts 48 yards, returned by Chad Morton for 9 yards (tackle by Mike Sellers)",-0.780,-0.410
1,11:19,1,10,NYG 22,0,0,Tiki Barber left end for 9 yards (tackle by Adam Archuleta),0.410,1.080
1,10:48,2,1,NYG 31,0,0,Tiki Barber left end for 4 yards (tackle by Carlos Rogers),1.080,1.270
1,10:10,1,10,NYG 35,0,0,Eli Manning pass complete short right to Plaxico Burress for 6 yards (tackle by Kenny Wright),1.270,1.530
1,9:43,2,4,NYG 41,0,0,Eli Manning pass complete short right to Plaxico Burress for 6 yards (tackle by Kenny Wright and Warrick Holdman),1.530,2.060
1,9:02,1,10,NYG 47,0,0,Eli Manning pass incomplete short left intended for Amani Toomer,2.060,1.520
1,8:50,2,10,NYG 47,0,0,Tiki Barber left end for 18 yards (tackle by Mike Rumph),1.520,3.250
1,8:30,1,10,WAS 35,0,0,Eli Manning pass complete short left to Brandon Jacobs for 6 yards (tackle by Warrick Holdman),3.250,3.510
1,7:48,2,4,WAS 29,0,0,Eli Manning pass incomplete short left intended for Jeremy Shockey,3.510,2.810
1,7:39,3,4,WAS 29,0,0,Eli Manning pass incomplete short left intended for Tiki Barber,2.810,1.560
1,7:33,4,4,WAS 29,0,0,Jay Feely 47 yard field goal no good,1.560,-1.400
1,7:28,1,10,WAS 37,0,0,Clinton Portis left end for -4 yards (tackle by Antonio Pierce),1.400,0.320
1,6:49,2,14,WAS 33,0,0,Clinton Portis right guard for 15 yards (tackle by Will Demps),0.320,2.130
1,6:14,1,10,WAS 48,0,0,Mark Brunell pass incomplete deep right intended for Chris Cooley,2.130,1.580
1,6:02,2,10,WAS 48,0,0,Clinton Portis left end for -1 yards (tackle by Antonio Pierce),1.580,0.760
1,5:23,3,11,WAS 47,0,0,"Mark Brunell pass incomplete deep middle intended for Brandon Lloyd. Penalty on William Joseph: Roughing the Passer, 15 yards (no play)",0.760,3.050
1,5:13,1,10,NYG 38,0,0,Mark Brunell pass complete short left to James Thrash for 4 yards (tackle by Sam Madison),3.050,3.050
1,4:51,2,6,NYG 34,0,0,"Mark Brunell pass incomplete deep right intended for Santana Moss. Penalty on Santana Moss: Offensive Pass Interfere, 10 yards (no play)",3.050,1.700
