Quarter,Time,Tm,Detail,MIA,NWE
1.0,10:59,Dolphins,Dan Carpenter 47 yard field goal,3,0
2.0,13:45,Dolphins,Brandon Marshall 19 yard pass from Matt Moore (Dan Carpenter kick),10,0
,6:31,Dolphins,Charles Clay 1 yard pass from Matt Moore (Dan Carpenter kick),17,0
3.0,11:39,Patriots,Stephen Gostkowski 45 yard field goal,17,3
,7:10,Patriots,Deion Branch 1 yard pass from Tom Brady (Stephen Gostkowski kick),17,10
,2:17,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),17,17
4.0,8:55,Patriots,Stephen Gostkowski 42 yard field goal,17,20
,2:56,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),17,27
,1:48,Dolphins,Davone Bess 15 yard pass from Matt Moore (Dan Carpenter kick),24,27
