Quarter,Time,Tm,Detail,IND,HOU
1.0,10:32,Colts,Eric Ebron 6 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
,4:03,Colts,Marlon Mack 2 yard rush (Adam Vinatieri kick),14,0
2.0,6:24,Colts,Dontrelle Inman 18 yard pass from Andrew Luck (Adam Vinatieri kick),21,0
4.0,10:57,Texans,Keke Coutee 6 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,7
