Quarter,Time,Tm,Detail,HOU,IND
1.0,9:31,Colts,Griff Whalen 14 yard pass from Andrew Luck (Adam Vinatieri kick),0,7
,1:46,Texans,Randy Bullock 49 yard field goal,3,7
2.0,12:00,Colts,Adam Vinatieri 37 yard field goal,3,10
,7:03,Colts,Trent Richardson 9 yard pass from Andrew Luck (Adam Vinatieri kick),3,17
,1:44,Colts,Adam Vinatieri 43 yard field goal,3,20
3.0,12:27,Colts,Adam Vinatieri 40 yard field goal,3,23
,1:53,Colts,"Safety, Duane Brown tackled in end zone by Cory Redding for a Safety.",3,25
