Quarter,Time,Tm,Detail,NWE,BAL
1.0,7:48,Patriots,Stephen Gostkowski 37 yard field goal,3,0
,7:09,Patriots,Brandon Bolden 2 yard rush (Stephen Gostkowski kick),10,0
,0:38,Patriots,Stephen Gostkowski 49 yard field goal,13,0
2.0,9:45,Ravens,Torrey Smith 25 yard pass from Joe Flacco (Justin Tucker kick),13,7
,1:47,Ravens,Dennis Pitta 20 yard pass from Joe Flacco (Justin Tucker kick),13,14
,0:02,Patriots,Julian Edelman 7 yard pass from Tom Brady (Stephen Gostkowski kick),20,14
3.0,11:36,Ravens,Ray Rice 7 yard rush (Justin Tucker kick),20,21
,6:48,Patriots,Danny Woodhead 3 yard rush (Stephen Gostkowski kick),27,21
4.0,14:10,Patriots,Stephen Gostkowski 20 yard field goal,30,21
,4:01,Ravens,Torrey Smith 5 yard pass from Joe Flacco (Justin Tucker kick),30,28
,0:00,Ravens,Justin Tucker 27 yard field goal,30,31
