Unnamed: 0,NWE,BAL
First Downs,33,28
Rush-Yds-TDs,34-77-2,26-121-1
Cmp-Att-Yd-TD-INT,28-41-335-1-0,28-39-382-3-1
Sacked-Yards,2-16,0-0
Net Pass Yards,319,382
Total Yards,396,503
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,10-83,14-135
Third Down Conv.,7-15,4-8
Fourth Down Conv.,0-0,0-1
Time of Possession,31:03,28:57
