Unnamed: 0,GNB,SFO
First Downs,21,17
Rush-Yds-TDs,31-111-0,17-55-1
Cmp-Att-Yd-TD-INT,25-31-305-4-0,22-35-291-1-1
Sacked-Yards,1-11,1-9
Net Pass Yards,294,282
Total Yards,405,337
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-45,4-33
Third Down Conv.,6-12,3-10
Fourth Down Conv.,1-1,0-1
Time of Possession,36:30,23:30
