Quarter,Time,Tm,Detail,GNB,SFO
1.0,11:42,Packers,Davante Adams 36 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,0:47,49ers,Robbie Gould 22 yard field goal,7,3
2.0,7:01,Packers,Marcedes Lewis 1 yard pass from Aaron Rodgers (Mason Crosby kick),14,3
,1:53,Packers,Marquez Valdes-Scantling 52 yard pass from Aaron Rodgers (Mason Crosby kick),21,3
3.0,7:17,Packers,Marquez Valdes-Scantling 1 yard pass from Aaron Rodgers (Mason Crosby kick),28,3
,2:01,Packers,Mason Crosby 19 yard field goal,31,3
4.0,6:15,Packers,Mason Crosby 53 yard field goal,34,3
,5:00,49ers,Richie James 41 yard pass from Nick Mullens (Robbie Gould kick),34,10
,0:04,49ers,Jerick McKinnon 1 yard rush (Robbie Gould kick),34,17
