Unnamed: 0,BAL,MIA
First Downs,13,19
Rush-Yds-TDs,33-114-0,42-141-0
Cmp-Att-Yd-TD-INT,14-25-112-0-2,13-32-126-0-1
Sacked-Yards,2-3,0-0
Net Pass Yards,109,126
Total Yards,223,267
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,10-88,5-50
Third Down Conv.,5-14,3-15
Fourth Down Conv.,0-0,0-0
Time of Possession,31:15,34:57
