Quarter,Time,Tm,Detail,BAL,MIA
2,11:12,Dolphins,Olindo Mare 23 yard field goal,0,3
,10:10,Ravens,Matt Stover 39 yard field goal,3,3
3,3:07,Dolphins,Olindo Mare 52 yard field goal,3,6
4,7:42,Ravens,Matt Stover 45 yard field goal,6,6
OT,8:48,Dolphins,Olindo Mare 43 yard field goal,6,9
