Unnamed: 0,CLE,BAL
First Downs,11,29
Rush-Yds-TDs,13-33-0,34-119-0
Cmp-Att-Yd-TD-INT,17-31-150-1-2,30-41-296-3-2
Sacked-Yards,4-39,2-19
Net Pass Yards,111,277
Total Yards,144,396
Fumbles-Lost,2-1,0-0
Turnovers,3,2
Penalties-Yards,3-35,6-61
Third Down Conv.,2-10,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,21:24,38:36
