Unnamed: 0,SEA,DET
First Downs,21,26
Rush-Yds-TDs,19-133-1,22-84-1
Cmp-Att-Yd-TD-INT,25-35-236-2-1,34-49-352-3-1
Sacked-Yards,0-0,2-21
Net Pass Yards,236,331
Total Yards,369,415
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,2-10,5-61
Third Down Conv.,3-9,12-16
Fourth Down Conv.,1-1,0-0
Time of Possession,25:17,34:43
