Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
1,10:41,3,15,SEA 41,0,0,Russell Wilson pass complete short left to Golden Tate for 10 yards (tackle by Justin Durant),0.100,0.000
1,10:03,4,5,DET 49,0,0,"Jon Ryan punts 37 yards, fair catch by Stefan Logan. Penalty on Willie Young: Illegal Formation, 5 yards (no play)",0.000,2.650
1,9:54,1,10,DET 44,0,0,"Penalty on Nick Fairley: Encroachment, 5 yards (no play)",2.650,3.380
1,9:54,1,5,DET 39,0,0,Marshawn Lynch left tackle for 1 yard (tackle by Willie Young),3.380,2.920
1,9:23,2,4,DET 38,0,0,Russell Wilson pass complete short right to Sidney Rice for 5 yards (tackle by Chris Houston),2.920,3.380
1,8:50,1,10,DET 33,0,0,Russell Wilson pass complete short left to Zach Miller for 6 yards (tackle by Stephen Tulloch),3.380,3.650
1,8:11,2,4,DET 27,0,0,Russell Wilson pass complete short middle to Anthony McCoy for 14 yards (tackle by Louis Delmas),3.650,4.710
1,7:36,1,10,DET 13,0,0,Marshawn Lynch right tackle for 6 yards (tackle by Kyle Vanden Bosch and Ricardo Silva),4.710,5.150
1,7:00,2,4,DET 7,0,0,Marshawn Lynch right end for -3 yards (tackle by Kyle Vanden Bosch),5.150,3.650
1,6:19,3,7,DET 10,0,0,Russell Wilson pass complete short left to Golden Tate for 5 yards (tackle by Alphonso Smith and Chris Houston),3.650,3.030
1,5:33,4,2,DET 5,3,0,Steven Hauschka 23 yard field goal good,3.030,3.000
1,5:30,,,SEA 35,3,0,"Steven Hauschka kicks off 68 yards, returned by Stefan Logan for 21 yards (tackle by Kam Chancellor)",0.000,0.040
1,5:25,1,10,DET 18,3,0,Mikel Leshoure right tackle for 3 yards (tackle by Kam Chancellor),0.040,0.010
1,4:52,2,7,DET 21,3,0,Mikel Leshoure right end for 5 yards (tackle by Bruce Irvin),0.010,-0.140
1,4:14,3,2,DET 26,3,0,Matthew Stafford pass complete short middle to Mikel Leshoure for 4 yards (tackle by Kam Chancellor and Marcus Trufant),-0.140,0.940
1,3:30,1,10,DET 30,3,0,Matthew Stafford pass complete short middle to Brandon Pettigrew for 6 yards (tackle by Marcus Trufant and K.J. Wright),0.940,1.200
1,2:51,2,4,DET 36,3,0,Mikel Leshoure up the middle for 16 yards (tackle by Kam Chancellor),1.200,2.390
1,2:15,1,10,SEA 48,3,0,Matthew Stafford pass complete short right to Ryan Broyles for 19 yards (tackle by Bobby Wagner and Richard Sherman),2.390,3.640
1,1:28,1,10,SEA 29,3,0,Matthew Stafford pass complete deep right to Tony Scheffler for 20 yards (tackle by Earl Thomas),3.640,5.140
1,0:49,1,9,SEA 9,3,0,Mikel Leshoure left tackle for 3 yards (tackle by K.J. Wright),5.140,4.950
1,0:07,2,6,SEA 6,3,6,"Matthew Stafford pass complete short left to Ryan Broyles for 6 yards, touchdown",4.950,7.000
1,0:07,,,SEA 2,3,7,Jason Hanson kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,DET 35,3,7,"Jason Hanson kicks off 70 yards, returned by Leon Washington for 28 yards (tackle by John Wendling)",0.000,0.480
2,14:55,1,10,SEA 23,9,7,"Marshawn Lynch right end for 77 yards, touchdown",0.480,7.000
2,14:55,,,DET 2,10,7,Steven Hauschka kicks extra point good,0.000,0.000
2,14:43,,,SEA 35,10,7,"Steven Hauschka kicks off 72 yards, touchback",0.000,0.280
2,14:43,1,10,DET 20,10,7,Matthew Stafford sacked by Brandon Mebane for -12 yards,0.280,-1.660
2,14:02,2,22,DET 8,10,7,Mikel Leshoure up the middle for 3 yards (tackle by Brandon Mebane and Bobby Wagner),-1.660,-2.470
2,13:28,3,19,DET 11,10,7,"Penalty on Rob Sims: False Start, 5 yards (no play)",-2.470,-3.060
2,13:06,3,24,DET 6,10,7,Matthew Stafford pass complete short left to Brandon Pettigrew for 12 yards (tackle by Marcus Trufant),-3.060,-2.240
2,12:34,4,12,DET 18,10,7,"Nick Harris punts 46 yards, returned by Leon Washington for 8 yards (tackle by Ashlee Palmer)",-2.240,-1.860
2,12:23,1,10,SEA 44,10,7,"Russell Wilson pass incomplete deep right intended for Golden Tate (defended by Jonte Green). Penalty on Jonte Green: Defensive Pass Interference, 41 yards (no play)",1.860,4.580
2,12:16,1,10,DET 15,10,7,Robert Turbin left end for 6 yards (tackle by Travis Lewis),4.580,5.030
2,11:49,2,4,DET 9,10,7,Russell Wilson pass incomplete short left intended for Evan Moore (defended by Jonte Green),5.030,4.220
2,11:43,3,4,DET 9,16,7,"Russell Wilson pass complete short left to Sidney Rice for 9 yards, touchdown",4.220,7.000
2,11:43,,,DET 2,17,7,Steven Hauschka kicks extra point good,0.000,0.000
2,11:39,,,SEA 35,17,7,"Steven Hauschka kicks off 72 yards, touchback",0.000,0.280
2,11:39,1,10,DET 20,17,7,Matthew Stafford pass complete short right to Tony Scheffler for 14 yards (tackle by Richard Sherman),0.280,1.200
2,10:57,1,10,DET 34,17,7,Mikel Leshoure right tackle for 3 yards (tackle by Clinton McDonald and K.J. Wright),1.200,1.060
2,10:19,2,7,DET 37,17,7,Matthew Stafford pass complete short left to Brandon Pettigrew for 18 yards (tackle by Kam Chancellor),1.060,2.590
2,9:39,1,10,SEA 45,17,7,Mikel Leshoure left tackle for -1 yards (tackle by Bobby Wagner and Brandon Mebane),2.590,1.910
2,9:00,2,11,SEA 46,17,7,Matthew Stafford pass incomplete short right intended for Calvin Johnson,1.910,1.220
2,8:56,3,11,SEA 46,17,13,"Matthew Stafford pass complete deep right to Titus Young for 46 yards, touchdown",1.220,7.000
2,8:56,,,SEA 2,17,14,Jason Hanson kicks extra point good,0.000,0.000
2,8:49,,,DET 35,17,14,"Jason Hanson kicks off 69 yards, returned by Leon Washington for 21 yards (tackle by Tahir Whitehead)",0.000,-0.060
2,8:42,1,10,SEA 17,17,14,Russell Wilson pass complete short right to Golden Tate for 7 yards (tackle by Chris Houston),-0.060,0.480
2,8:03,2,3,SEA 24,17,14,Marshawn Lynch left tackle for -1 yards (tackle by Ashlee Palmer),0.480,0.000
2,7:26,,,,17,14,Timeout #1 by Detroit Lions,0.000,-0.490
2,7:26,3,4,SEA 23,17,14,Russell Wilson pass incomplete short left intended for Marshawn Lynch,-0.490,-1.830
2,7:22,4,4,SEA 23,17,14,"Jon Ryan punts 64 yards, returned by Stefan Logan for 6 yards (tackle by Mike Morgan)",-1.830,-0.150
2,7:09,1,10,DET 19,17,14,Matthew Stafford pass incomplete short right intended for Mikel Leshoure,0.150,-0.390
2,7:04,2,10,DET 19,17,14,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew,-0.390,-1.070
2,6:54,3,10,DET 19,17,14,Matthew Stafford pass complete short left to Kevin Smith for 7 yards (tackle by Greg Scruggs and Earl Thomas),-1.070,-1.630
2,6:23,4,3,DET 26,17,14,"Nick Harris punts 47 yards, returned by Leon Washington for 18 yards (tackle by Will Heller)",-1.630,-1.930
2,6:10,1,10,SEA 45,17,14,Marshawn Lynch left end for 2 yards (tackle by Justin Durant),1.930,1.650
2,5:34,2,8,SEA 47,17,14,Russell Wilson pass complete short right to Golden Tate for 3 yards (tackle by Justin Durant),1.650,1.360
2,4:49,3,5,,17,14,Russell Wilson pass complete short middle to Charly Martin for 4 yards (tackle by Ricardo Silva),1.360,0.200
2,4:06,4,1,DET 46,17,14,Jon Ryan punts 42 yards,0.200,0.380
2,3:57,1,10,DET 4,17,14,Matthew Stafford up the middle for 1 yard (tackle by Brandon Mebane),-0.380,-0.710
2,3:17,2,9,DET 5,17,14,Matthew Stafford pass complete short right to Titus Young for 11 yards (tackle by K.J. Wright and Earl Thomas),-0.710,-0.140
2,2:57,1,10,DET 16,17,14,Matthew Stafford pass complete short middle to Mikel Leshoure for 2 yards (tackle by K.J. Wright),-0.140,-0.350
2,2:18,2,8,DET 18,17,14,Matthew Stafford pass complete short middle to Tony Scheffler for 7 yards (tackle by Kam Chancellor),-0.350,-0.200
2,2:00,3,1,DET 25,17,14,Matthew Stafford pass complete short right to Brandon Pettigrew for 10 yards (tackle by K.J. Wright),-0.200,1.270
2,1:32,1,10,DET 35,17,14,Mikel Leshoure up the middle for 4 yards (tackle by Kam Chancellor),1.270,1.260
2,1:08,2,6,DET 39,17,14,Matthew Stafford pass incomplete deep left intended for Ryan Broyles,1.260,0.560
2,1:00,3,6,DET 39,17,14,Matthew Stafford pass incomplete deep left intended for Tony Scheffler,0.560,-0.780
2,0:56,4,6,DET 39,17,14,"Nick Harris punts 41 yards, fair catch by Leon Washington",-0.780,-0.280
2,0:47,1,10,SEA 20,17,14,Robert Turbin up the middle for 11 yards (tackle by Cliff Avril),0.280,1.000
2,0:31,1,10,SEA 31,17,14,Russell Wilson pass complete short middle to Robert Turbin for 12 yards (tackle by Alphonso Smith and Stephen Tulloch),1.000,0.000
2,0:22,,,,17,14,Timeout #1 by Seattle Seahawks,0.000,1.800
2,0:22,1,10,SEA 43,17,14,Russell Wilson pass complete short right to Leon Washington for 7 yards (tackle by Alphonso Smith),1.800,2.200
2,0:16,2,3,,17,14,Russell Wilson pass complete short middle to Leon Washington for 9 yards (tackle by Justin Durant),2.200,0.000
2,0:12,,,,17,14,Timeout #2 by Seattle Seahawks,0.000,0.000
2,0:12,,,,17,14,Timeout #2 by Detroit Lions,0.000,2.850
2,0:12,1,10,DET 41,17,14,Robert Turbin up the middle for -2 yards (tackle by Ndamukong Suh),2.850,0.000
2,0:06,,,,17,14,Timeout #3 by Seattle Seahawks,0.000,0.000
2,0:06,,,,17,14,Timeout #3 by Detroit Lions,0.000,2.040
2,0:06,2,12,DET 43,17,14,Russell Wilson pass incomplete short right intended for Zach Miller,2.040,1.350
2,0:02,3,12,DET 43,17,14,Steven Hauschka 61 yard field goal no good,1.350,2.260
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,17,14,"Jason Hanson kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SEA 20,17,14,Russell Wilson pass complete short middle to Anthony McCoy for 13 yards (tackle by Chris Houston),0.280,1.140
3,14:28,1,10,SEA 33,17,14,Marshawn Lynch left tackle for 3 yards (tackle by Louis Delmas),1.140,1.000
3,13:56,2,7,SEA 36,17,14,Marshawn Lynch up the middle for 7 yards (tackle by Stephen Tulloch),1.000,1.800
3,13:15,1,10,SEA 43,17,14,Russell Wilson pass complete short left to Marshawn Lynch for 1 yard (tackle by Louis Delmas),1.800,1.390
3,12:32,2,9,SEA 44,17,14,Russell Wilson pass incomplete deep middle intended for Sidney Rice,1.390,0.690
3,12:25,3,9,SEA 44,17,14,Russell Wilson pass incomplete short right intended for Zach Miller,0.690,-0.460
3,12:19,4,9,SEA 44,17,14,"Jon Ryan punts 39 yards, fair catch by Stefan Logan",-0.460,0.060
3,12:11,1,10,DET 17,17,14,Matthew Stafford sacked by LeRoy Hill for -9 yards,-0.060,-1.440
3,11:38,2,19,DET 8,17,14,Matthew Stafford pass complete short right to Titus Young for 8 yards (tackle by Richard Sherman),-1.440,-1.410
3,11:04,3,11,DET 16,17,14,Matthew Stafford pass complete short middle to Ryan Broyles for 12 yards (tackle by K.J. Wright and Richard Sherman),-1.410,0.810
3,10:23,1,10,DET 28,17,14,Joique Bell left tackle for 5 yards (tackle by Clinton McDonald),0.810,0.940
3,9:41,2,5,DET 33,17,14,Matthew Stafford for 10 yards (tackle by Bobby Wagner),0.940,1.800
3,9:02,1,10,DET 43,17,14,Joique Bell up the middle for 2 yards (tackle by Brandon Mebane),1.800,1.520
3,8:20,2,8,DET 45,17,14,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by Brandon Browner),1.520,0.830
3,8:11,3,8,DET 45,17,14,Matthew Stafford pass complete short right to Brandon Pettigrew for 8 yards (tackle by Bobby Wagner and Kam Chancellor),0.830,2.460
3,7:24,1,10,SEA 47,17,14,Joique Bell right end for 2 yards (tackle by Bobby Wagner),2.460,2.180
3,6:42,2,8,SEA 45,17,14,Matthew Stafford pass incomplete short right intended for Ryan Broyles (defended by Earl Thomas),2.180,1.490
3,6:38,3,8,SEA 45,17,14,Matthew Stafford pass complete short right to Titus Young for 9 yards (tackle by Richard Sherman). Penalty on Brandon Browner: Defensive Holding (Declined),1.490,3.180
,,,,,,,"SEA challenged the incomplete pass ruling, and the play was upheld.",,
3,6:07,1,10,SEA 36,17,14,Mikel Leshoure right end for 7 yards (tackle by Bobby Wagner and Alan Branch),3.180,3.580
3,5:25,2,3,SEA 29,17,14,Matthew Stafford pass incomplete deep left intended for Tony Scheffler is intercepted by Earl Thomas at SEA-3,3.580,0.380
3,5:18,1,10,SEA 3,17,14,Robert Turbin left tackle for -1 yards (tackle by Ndamukong Suh),-0.380,-0.850
3,4:37,2,11,SEA 2,17,14,Russell Wilson pass complete short right to Michael Robinson for 6 yards (tackle by Justin Durant),-0.850,-0.840
3,4:03,3,5,SEA 8,17,14,Russell Wilson pass complete short right to Robert Turbin for 16 yards (tackle by Ricardo Silva),-0.840,0.540
3,3:34,1,10,SEA 24,17,14,Sidney Rice right end for 3 yards (tackle by Lawrence Jackson and Erik Coleman),0.540,0.400
3,2:58,2,7,SEA 27,17,14,Russell Wilson for 9 yards (tackle by Stephen Tulloch),0.400,1.330
3,2:14,1,10,SEA 36,17,14,Russell Wilson pass incomplete deep right intended for Sidney Rice is intercepted by Ricardo Silva at DET-18 and returned for 26 yards (tackle by Marshawn Lynch),1.330,-1.860
3,1:57,1,10,DET 44,17,14,Matthew Stafford pass complete short middle to Calvin Johnson for 25 yards (tackle by Brandon Browner),1.860,3.510
3,1:18,1,10,SEA 31,17,14,Joique Bell up the middle for 5 yards (tackle by Alan Branch),3.510,3.640
3,0:36,2,5,SEA 26,17,14,Matthew Stafford pass complete short left to Joique Bell for 9 yards (tackle by Bobby Wagner),3.640,4.440
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 17,17,14,Joique Bell right tackle for 3 yards (tackle by K.J. Wright),4.440,4.320
4,14:17,2,7,SEA 14,17,14,Joique Bell right tackle for 3 yards (tackle by Brandon Mebane),4.320,4.100
4,13:35,3,4,SEA 11,17,14,Matthew Stafford pass complete short middle to Brandon Pettigrew for 9 yards (tackle by K.J. Wright and Kam Chancellor),4.100,6.740
4,12:46,1,2,SEA 2,17,14,Kevin Smith up the middle for 1 yard (tackle by Kam Chancellor),6.740,5.910
4,12:15,2,1,SEA 1,17,14,Matthew Stafford up the middle for no gain (tackle by Red Bryant),5.910,5.170
4,11:42,3,1,SEA 1,17,20,"Matthew Stafford right end for 1 yard, touchdown",5.170,7.000
4,11:42,,,SEA 2,17,21,"Jason Hanson kicks extra point good. Penalty on Brandon Browner: Defensive Offside, 5 yards",0.000,0.000
4,11:35,,,DET 40,17,21,"Jason Hanson kicks off 66 yards, returned by Leon Washington for 19 yards (tackle by Ashlee Palmer)",0.000,-0.320
4,11:29,1,10,SEA 13,17,21,Russell Wilson pass complete short right to Golden Tate for 9 yards (tackle by Chris Houston),-0.320,0.490
4,11:00,2,1,SEA 22,17,21,Marshawn Lynch left tackle for -4 yards (tackle by Corey Williams),0.490,-0.830
4,10:14,3,5,SEA 18,17,21,"Penalty on SEA: Delay of Game, 5 yards (no play)",-0.830,-1.420
4,9:54,3,10,SEA 13,17,21,Russell Wilson pass complete short middle to Sidney Rice for 18 yards (tackle by Stephen Tulloch and Erik Coleman),-1.420,1.000
4,9:20,1,10,SEA 31,17,21,Marshawn Lynch up the middle for 9 yards (tackle by Justin Durant),1.000,1.680
4,8:44,2,1,SEA 40,17,21,Michael Robinson up the middle for 2 yards (tackle by Lawrence Jackson and Ashlee Palmer),1.680,1.730
4,8:10,1,10,SEA 42,17,21,Russell Wilson pass complete deep right to Sidney Rice for 18 yards (tackle by Chris Houston),1.730,2.920
4,7:35,1,10,DET 40,17,21,Russell Wilson pass incomplete short right intended for Zach Miller (defended by Stephen Tulloch),2.920,2.370
4,7:29,2,10,DET 40,17,21,Russell Wilson pass complete short middle to Sidney Rice for 8 yards (tackle by Justin Durant),2.370,2.740
4,6:46,3,2,DET 32,17,21,Russell Wilson pass incomplete short right intended for Robert Turbin,2.740,0.000
4,6:41,,,,17,21,Timeout #1 by Detroit Lions,0.000,1.300
4,6:41,4,2,DET 32,17,21,Russell Wilson pass complete short right to Golden Tate for 6 yards (tackle by Alphonso Smith),1.300,3.840
4,6:05,1,10,DET 26,17,21,Marshawn Lynch left end for 10 yards (tackle by Ricardo Silva),3.840,4.510
4,5:34,1,10,DET 16,23,21,"Russell Wilson pass complete deep left to Zach Miller for 16 yards, touchdown",4.510,7.000
4,5:34,,,DET 2,24,21,Steven Hauschka kicks extra point good,0.000,0.000
4,5:27,,,SEA 35,24,21,"Steven Hauschka kicks off 71 yards, touchback",0.000,0.280
4,5:27,1,10,DET 20,24,21,Matthew Stafford pass complete short left to Calvin Johnson for 15 yards (tackle by Brandon Browner),0.280,1.270
4,4:46,1,10,DET 35,24,21,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by K.J. Wright),1.270,0.720
4,4:41,2,10,DET 35,24,21,Matthew Stafford pass complete short right to Tony Scheffler for 5 yards (tackle by Marcus Trufant),0.720,0.700
4,4:04,3,5,DET 40,24,21,Matthew Stafford pass complete short middle to Calvin Johnson for 6 yards (tackle by Marcus Trufant),0.700,1.990
4,3:26,1,10,DET 46,24,21,Matthew Stafford pass complete short left to Titus Young for 6 yards (tackle by Bobby Wagner),1.990,2.260
4,2:43,2,4,SEA 48,24,21,Matthew Stafford pass complete short left to Titus Young for 7 yards (tackle by Marcus Trufant),2.260,2.850
4,2:04,1,10,SEA 41,24,21,Matthew Stafford pass complete short left to Joique Bell for 5 yards (tackle by Brandon Browner),2.850,2.980
4,1:57,2,5,SEA 36,24,21,Matthew Stafford pass complete short right to Brandon Pettigrew for 11 yards (tackle by Bobby Wagner and Kam Chancellor),2.980,3.910
4,1:27,1,10,SEA 25,24,21,Joique Bell up the middle for 5 yards (tackle by Richard Sherman),3.910,4.040
4,0:59,2,5,SEA 20,24,21,Matthew Stafford pass complete short middle to Joique Bell for 8 yards (tackle by Marcus Trufant and Bobby Wagner),4.040,0.000
4,0:51,,,,24,21,Timeout #2 by Detroit Lions,0.000,4.780
4,0:51,1,10,SEA 12,24,21,Matthew Stafford pass incomplete short right intended for Tony Scheffler,4.780,4.100
4,0:47,2,10,SEA 12,24,21,Matthew Stafford pass incomplete short right intended for Calvin Johnson,4.100,3.120
4,0:42,3,10,SEA 12,24,21,Matthew Stafford pass complete short middle to Joique Bell for 11 yards (tackle by Bobby Wagner and K.J. Wright),3.120,0.000
4,0:35,,,,24,21,Timeout #3 by Detroit Lions,0.000,6.970
4,0:35,1,1,SEA 1,24,21,Matthew Stafford pass incomplete short right intended for Tony Scheffler,6.970,5.910
4,0:29,2,1,SEA 1,24,21,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew,5.910,5.170
4,0:20,3,1,SEA 1,24,27,"Matthew Stafford pass complete short left to Titus Young for 1 yard, touchdown",5.170,7.000
4,0:20,,,SEA 2,24,28,Jason Hanson kicks extra point good,0.000,0.000
4,0:20,,,DET 35,24,28,"Jason Hanson kicks off 42 yards, muffed catch by Leon Washington, recovered by Ben Obomanu and returned for no gain",0.000,0.040
4,0:15,1,10,SEA 18,24,28,Russell Wilson pass incomplete deep left intended for Charly Martin,0.040,-0.490
4,0:08,2,10,SEA 18,24,28,"Russell Wilson pass complete short left to Charly Martin for 13 yards, lateral to Ricardo Silva for no gain (tackle by Russell Wilson). Golden Tate fumbles, recovered by Ricardo Silva at SEA-37 (tackle by Russell Wilson)",-0.490,1.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
