#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:09,MIA 45,3,2:04,5,Punt
2,1,9:38,MIA 31,3,1:30,5,Punt
3,1,4:33,MIA 28,5,2:46,27,Punt
4,2,14:49,CIN 49,7,2:10,24,Field Goal
5,2,10:14,MIA 31,3,2:02,4,Punt
6,2,6:09,MIA 46,4,1:37,35,Interception
7,2,1:42,MIA 28,5,1:18,-1,Punt
8,3,15:00,MIA 25,5,2:59,22,Interception
9,3,12:01,MIA 20,3,1:19,-6,Punt
10,3,9:39,MIA 9,3,1:32,4,Punt
11,3,5:11,MIA 15,3,1:27,-1,Punt
12,3,0:13,MIA 14,6,3:06,-3,Punt
13,4,8:40,MIA 19,5,2:42,12,Punt
14,4,4:57,MIA 47,4,1:18,53,Touchdown
15,4,2:34,CIN 31,4,0:41,2,Field Goal
16,4,0:02,,0,0:02,0,End of Game
