Quarter,Time,Tm,Detail,MIA,CIN
2.0,12:39,Dolphins,Olindo Mare 43 yard field goal,3,0
3.0,12:01,Bengals,Brian Simmons 50 yard interception return (Shayne Graham kick),3,7
,5:11,Bengals,Shayne Graham 48 yard field goal,3,10
,0:13,Bengals,Shayne Graham 36 yard field goal,3,13
4.0,3:39,Dolphins,Chris Chambers 4 yard pass from A.J. Feeley (Olindo Mare kick),10,13
,1:53,Dolphins,Olindo Mare 47 yard field goal,13,13
,0:02,Bengals,Shayne Graham 39 yard field goal,13,16
