Unnamed: 0,MIA,CIN
First Downs,11,12
Rush-Yds-TDs,20-25-0,29-94-0
Cmp-Att-Yd-TD-INT,21-39-218-1-2,21-38-147-0-1
Sacked-Yards,2-17,5-31
Net Pass Yards,201,116
Total Yards,226,210
Fumbles-Lost,4-1,0-0
Turnovers,3,1
Penalties-Yards,8-69,3-19
Third Down Conv.,3-16,5-19
Fourth Down Conv.,0-0,0-0
Time of Possession,28:33,31:27
